id,transcript,num_turns,sector,label
0,"[BUYER] NEXO:PROPOSE We're interested in purchasing 2056 units of zephyr-alloy. ||| [SELLER] NEXO:OFFER Current rate for zephyr-alloy is 3757 credits. Volume discounts possible. ||| [BUYER] NEXO:ADJUST That's above our budget. Can you do 1853 credits? ||| [BUYER] Flexibility on our end. ||| [SELLER] NEXO:COUNTER Best we can do is 3757 credits. Margin is thin. ||| [BUYER] NEXO:COUNTER Counter at 2110. We have alternative suppliers. ||| [BUYER] We're willing to compromise. ||| [SELLER] NEXO:COUNTER Adjusted to 3526 per unit, final offer. ||| [BUYER] NEXO:PING Awaiting your response. ||| [SELLER] NEXO:STATUS We'll get back shortly.",7,biotech,counter_proposed
1,[BUYER] NEXO:BID Looking to acquire 3012 neuron-chip for our manufacturing division. ||| [SELLER] NEXO:OFFER We can offer neuron-chip at 3250 credits per unit. ||| [BUYER] NEXO:ADJUST 2575 is our max. Let us know. ||| [SELLER] NEXO:PING Please confirm receipt. ||| [SELLER] NEXO:PING Please confirm receipt.,4,manufacturing,deal_accepted
2,"[BUYER] NEXO:BID Our energy team requires 1451 photon-array urgently. ||| [SELLER] NEXO:PROPOSE Current rate for photon-array is 8851 credits. Volume discounts possible. ||| [BUYER] NEXO:COUNTER Counter at 6978. We have alternative suppliers. ||| [SELLER] NEXO:COUNTER Adjusted to 8742 per unit, final offer. ||| [BUYER] NEXO:REVISE Counter at 6978. We have alternative suppliers. ||| [SELLER] NEXO:COUNTER Adjusted to 8250 per unit, final offer. ||| [BUYER] NEXO:ADJUST 7220 is our max. Let us know. ||| [SELLER] NEXO:PING Please confirm receipt.",8,energy,counter_proposed
3,"[BUYER] NEXO:PROPOSE Our energy team requires 435 quantum-relay urgently. ||| [SELLER] NEXO:BID We can offer quantum-relay at 1896 credits per unit. ||| [BUYER] NEXO:REJECT Counter at 888. We have alternative suppliers. ||| [SELLER] NEXO:ADJUST Adjusted to 1896 per unit, final offer. ||| [BUYER] NEXO:HOLD Checking with team.",5,energy,deal_accepted
4,"[BUYER] NEXO:PROPOSE We need 4150 of photon-array, what's your best price? ||| [SELLER] NEXO:PROPOSE Available stock of photon-array: 3027 credits/unit, minimum order 4150. ||| [SELLER] NEXO:PING Please confirm receipt. ||| [SELLER] NEXO:PING Please confirm receipt.",3,biotech,deal_rejected
5,"[BUYER] NEXO:BID We need 54 of nano-weave, what's your best price? ||| [SELLER] NEXO:OFFER We can offer nano-weave at 5410 credits per unit. ||| [SELLER] NEXO:PING Please confirm receipt.",3,manufacturing,deal_rejected
6,"[BUYER] NEXO:PROPOSE Our logistics team requires 616 crylon-fiber urgently. ||| [SELLER] NEXO:BID We can offer crylon-fiber at 8827 credits per unit. ||| [BUYER] NEXO:REFUSE We'd prefer 6572 per unit. Our ceiling is firm. ||| [SELLER] NEXO:DEFER Hold on, awaiting approval. ||| [BUYER] NEXO:HOLD Need to check with management. ||| [SELLER] NEXO:HOLD Need to check with management. ||| [SELLER] We're willing to compromise. ||| [BUYER] NEXO:COUNTER Counter at 6572. We have alternative suppliers. ||| [SELLER] NEXO:ADJUST We'll meet you at 8827. Can't go lower on crylon-fiber. ||| [BUYER] NEXO:PAUSE Let us review internally. ||| [BUYER] Flexibility on our end. ||| [BUYER] NEXO:HOLD Checking with team.",10,logistics,timeout
7,[BUYER] NEXO:OFFER We're interested in purchasing 856 units of photon-array. ||| [SELLER] NEXO:OFFER We can offer photon-array at 1093 credits per unit. ||| [BUYER] NEXO:REVISE We'd prefer 635 per unit. Our ceiling is firm. ||| [SELLER] NEXO:REVISE Best we can do is 1093 credits. Margin is thin. ||| [BUYER] NEXO:PING Awaiting your response. ||| [SYSTEM] NEXO:STATUS Session active.,5,energy,deal_rejected
8,"[BUYER] NEXO:OFFER Our energy team requires 814 helion-core urgently. ||| [SELLER] NEXO:OFFER Current rate for helion-core is 3972 credits. Volume discounts possible. ||| [BUYER] NEXO:PAUSE Hold on, awaiting approval. ||| [SELLER] NEXO:DEFER This requires further discussion. ||| [SELLER] Adjusting terms slightly. ||| [BUYER] NEXO:DEFER Need to check with management. ||| [SELLER] NEXO:ADJUST We'll meet you at 3972. Can't go lower on helion-core. ||| [SELLER] We're willing to compromise. ||| [BUYER] NEXO:HOLD Let us review internally. ||| [SELLER] NEXO:ADJUST We'll meet you at 3972. Can't go lower on helion-core. ||| [SELLER] We're willing to compromise. ||| [BUYER] NEXO:REJECT Counter at 1886. We have alternative suppliers. ||| [SELLER] NEXO:HOLD Hold on, awaiting approval. ||| [BUYER] NEXO:ADJUST That's above our budget. Can you do 1886 credits? ||| [SELLER] NEXO:PAUSE Let us review internally. ||| [BUYER] NEXO:REVISE Counter at 1886. We have alternative suppliers. ||| [SELLER] NEXO:ADJUST We'll meet you at 3972. Can't go lower on helion-core. ||| [SELLER] Adjusting terms slightly. ||| [SYSTEM] NEXO:STATUS Session active. ||| [SELLER] NEXO:PING Please confirm receipt.",15,energy,timeout
9,"[BUYER] NEXO:PROPOSE Looking to acquire 4582 synth-polymer for our energy division. ||| [SELLER] NEXO:OFFER Current rate for synth-polymer is 2646 credits. Volume discounts possible. ||| [BUYER] NEXO:COUNTER 1382 is our max. Let us know. ||| [BUYER] Flexibility on our end. ||| [SELLER] NEXO:COUNTER Adjusted to 2320 per unit, final offer. ||| [BUYER] NEXO:COUNTER 1382 is our max. Let us know. ||| [BUYER] Let's find middle ground. ||| [SELLER] NEXO:ADJUST We'll meet you at 2320. Can't go lower on synth-polymer. ||| [SELLER] Let's find middle ground. ||| [BUYER] NEXO:REVISE That's above our budget. Can you do 1438 credits? ||| [SELLER] NEXO:PING Please confirm receipt.",8,energy,deal_accepted
