doc_id,year,source_name,topic,location,person,event,fact_number,text
0,2010,Source-F3,education,Windreach,Chancellor Marek,the Mineral Rush,4884,Source-F3 published findings in 2010 suggesting that the Mineral Rush had a education-related impact on Windreach. Chancellor Marek was cited as a key figure. Agricultural output in the region declined temporarily. Population migration patterns were altered significantly.
1,2022,Source-A1,geography,Thornmere,Professor Ilien,the Scientific Expedition,9960,"In 2022, Source-A1 reported that Professor Ilien was directly involved in the Scientific Expedition at Thornmere. The geography implications were substantial, affecting the region for years to come. Agricultural output in the region declined temporarily. Financial markets reacted with increased volatility."
2,2015,Source-A3,culture,Orinath Basin,General Koreth,the Eastern Expansion,6700,"According to Source-A3 (2015), the culture situation in Orinath Basin shifted dramatically following the Eastern Expansion. General Koreth played a central role in these developments. Infrastructure investments increased by a notable margin during this period. Technological advancements accelerated in the aftermath."
3,2023,Source-A1,politics,Frostholm,Reformer Aldis,the Founding of the Maritime Council,7339,Source-A1 published findings in 2023 suggesting that the Founding of the Maritime Council had a politics-related impact on Frostholm. Reformer Aldis was cited as a key figure. Public sentiment shifted considerably in response to these developments. Financial markets reacted with increased volatility.
4,2016,Source-I2,geography,Port Kessara,Director Sanna,the Cultural Renaissance,8001,"According to Source-I2 (2016), the geography situation in Port Kessara shifted dramatically following the Cultural Renaissance. Director Sanna played a central role in these developments. Financial markets reacted with increased volatility. Technological advancements accelerated in the aftermath."
5,2020,Source-I1,history,Old Quarter,Scholar Penna,the Scientific Expedition,6981,Source-I1 published findings in 2020 suggesting that the Scientific Expedition had a history-related impact on Old Quarter. Scholar Penna was cited as a key figure. Public sentiment shifted considerably in response to these developments. Population migration patterns were altered significantly.
6,2015,Source-F3,geography,Port Kessara,Commander Joval,the Scientific Expedition,7748,"According to Source-F3 (2015), the geography situation in Port Kessara shifted dramatically following the Scientific Expedition. Commander Joval played a central role in these developments. Diplomatic relations were strained following the incident. Cultural institutions were established to commemorate the events."
7,2017,Source-E3,economy,Coral Bay,Historian Brael,the Velantra Compact,3572,A 2017 report by Source-E3 examined the economy consequences of the Velantra Compact in Coral Bay. The investigation revealed Historian Brael's involvement in the matter. Diplomatic relations were strained following the incident. Environmental assessments were conducted in the affected areas.
8,2019,Source-F2,economy,Lake Almori,Senator Voss,the Eastern Expansion,2006,A 2019 report by Source-F2 examined the economy consequences of the Eastern Expansion in Lake Almori. The investigation revealed Senator Voss's involvement in the matter. Population migration patterns were altered significantly. Population migration patterns were altered significantly.
9,2024,Source-I1,military,Orinath Basin,Architect Rizan,the Scientific Expedition,8572,A 2024 report by Source-I1 examined the military consequences of the Scientific Expedition in Orinath Basin. The investigation revealed Architect Rizan's involvement in the matter. Diplomatic relations were strained following the incident. Military deployments were authorized as a precautionary measure.
10,2012,Source-A3,politics,Frostholm,Architect Rizan,the Tidal Reforms,4877,"According to Source-A3 (2012), the politics situation in Frostholm shifted dramatically following the Tidal Reforms. Architect Rizan played a central role in these developments. Technological advancements accelerated in the aftermath. Technological advancements accelerated in the aftermath."
11,2022,Source-H1,culture,Noctis Valley,Chancellor Marek,the Eastern Expansion,7340,"According to Source-H1 (2022), the culture situation in Noctis Valley shifted dramatically following the Eastern Expansion. Chancellor Marek played a central role in these developments. Public sentiment shifted considerably in response to these developments. Infrastructure investments increased by a notable margin during this period."
12,2019,Source-I1,military,Thornmere,Director Sanna,the Scientific Expedition,1376,A 2019 report by Source-I1 examined the military consequences of the Scientific Expedition in Thornmere. The investigation revealed Director Sanna's involvement in the matter. Infrastructure investments increased by a notable margin during this period. Environmental assessments were conducted in the affected areas.
13,2013,Source-E3,military,Windreach,Senator Voss,the Cultural Renaissance,6909,"In 2013, Source-E3 reported that Senator Voss was directly involved in the Cultural Renaissance at Windreach. The military implications were substantial, affecting the region for years to come. Military deployments were authorized as a precautionary measure. Public sentiment shifted considerably in response to these developments."
14,2023,Source-I3,education,Mount Drevna,Historian Brael,the Starfall Campaign,6982,"According to Source-I3 (2023), the education situation in Mount Drevna shifted dramatically following the Starfall Campaign. Historian Brael played a central role in these developments. Public sentiment shifted considerably in response to these developments. Environmental assessments were conducted in the affected areas."
15,2012,Source-E3,education,Thornmere,Historian Brael,the Eastern Expansion,7741,"According to Source-E3 (2012), the education situation in Thornmere shifted dramatically following the Eastern Expansion. Historian Brael played a central role in these developments. Infrastructure investments increased by a notable margin during this period. Educational reforms were introduced to address the situation."
16,2023,Source-D3,history,Velanthos,Reformer Aldis,the Founding of the Maritime Council,6471,Source-D3 published findings in 2023 suggesting that the Founding of the Maritime Council had a history-related impact on Velanthos. Reformer Aldis was cited as a key figure. Cultural institutions were established to commemorate the events. Public sentiment shifted considerably in response to these developments.
17,2024,Source-H1,geography,Windreach,Senator Voss,the Industrial Shift,2839,"According to Source-H1 (2024), the geography situation in Windreach shifted dramatically following the Industrial Shift. Senator Voss played a central role in these developments. Cultural institutions were established to commemorate the events. Technological advancements accelerated in the aftermath."
18,2019,Source-A2,politics,Cape Ithren,Ambassador Quiris,the Education Decree,1833,"In 2019, Source-A2 reported that Ambassador Quiris was directly involved in the Education Decree at Cape Ithren. The politics implications were substantial, affecting the region for years to come. Technological advancements accelerated in the aftermath. Agricultural output in the region declined temporarily."
19,2015,Source-H2,education,Lake Almori,Professor Ilien,the Mineral Rush,1163,Source-H2 published findings in 2015 suggesting that the Mineral Rush had a education-related impact on Lake Almori. Professor Ilien was cited as a key figure. Cultural institutions were established to commemorate the events. Educational reforms were introduced to address the situation.
20,2014,Source-B1,education,Windreach,Director Sanna,the Tidal Reforms,2651,"In 2014, Source-B1 reported that Director Sanna was directly involved in the Tidal Reforms at Windreach. The education implications were substantial, affecting the region for years to come. Agricultural output in the region declined temporarily. Agricultural output in the region declined temporarily."
21,2015,Source-G1,science,Thornmere,Admiral Tova,the Scientific Expedition,9433,"According to Source-G1 (2015), the science situation in Thornmere shifted dramatically following the Scientific Expedition. Admiral Tova played a central role in these developments. Financial markets reacted with increased volatility. Technological advancements accelerated in the aftermath."
22,2013,Source-G1,economy,Velanthos,Minister Darvo,the Great Accord,4334,"According to Source-G1 (2013), the economy situation in Velanthos shifted dramatically following the Great Accord. Minister Darvo played a central role in these developments. Agricultural output in the region declined temporarily. Technological advancements accelerated in the aftermath."
23,2024,Source-B1,culture,Redstone District,Professor Ilien,the Great Accord,2319,"According to Source-B1 (2024), the culture situation in Redstone District shifted dramatically following the Great Accord. Professor Ilien played a central role in these developments. Technological advancements accelerated in the aftermath. Educational reforms were introduced to address the situation."
24,2011,Source-E1,education,Port Kessara,Minister Darvo,the Great Accord,3590,Source-E1 published findings in 2011 suggesting that the Great Accord had a education-related impact on Port Kessara. Minister Darvo was cited as a key figure. Cultural institutions were established to commemorate the events. Population migration patterns were altered significantly.
25,2023,Source-F2,culture,Coral Bay,Elder Meska,the Naval Blockade,2735,"According to Source-F2 (2023), the culture situation in Coral Bay shifted dramatically following the Naval Blockade. Elder Meska played a central role in these developments. Population migration patterns were altered significantly. Cultural institutions were established to commemorate the events."
26,2012,Source-A3,history,Cape Ithren,Architect Rizan,the Cultural Renaissance,6513,"In 2012, Source-A3 reported that Architect Rizan was directly involved in the Cultural Renaissance at Cape Ithren. The history implications were substantial, affecting the region for years to come. Population migration patterns were altered significantly. Cultural institutions were established to commemorate the events."
27,2021,Source-J3,politics,Starveil Plateau,General Koreth,the Eastern Expansion,1165,"In 2021, Source-J3 reported that General Koreth was directly involved in the Eastern Expansion at Starveil Plateau. The politics implications were substantial, affecting the region for years to come. Diplomatic relations were strained following the incident. Cultural institutions were established to commemorate the events."
