id,verdict
4399,"STANCE:support | EVIDENCE_IDS:1,3,4,5,7,9 | CONFIDENCE:medium"
15284,"STANCE:support | EVIDENCE_IDS:1,4,6,7,9 | CONFIDENCE:low"
7464,"STANCE:insufficient | EVIDENCE_IDS:1,2,7,8,9,12,13,14 | CONFIDENCE:low"
18961,"STANCE:contradict | EVIDENCE_IDS:3,4,6,9,11,13 | CONFIDENCE:medium"
8508,STANCE:insufficient | EVIDENCE_IDS:none | CONFIDENCE:low
7113,"STANCE:support | EVIDENCE_IDS:2,6,7,8,9,11 | CONFIDENCE:high"
18658,"STANCE:support | EVIDENCE_IDS:1,2,3,8 | CONFIDENCE:medium"
9907,"STANCE:support | EVIDENCE_IDS:5,6,7,10 | CONFIDENCE:medium"
2425,"STANCE:support | EVIDENCE_IDS:3,4,5,7,10,11,13 | CONFIDENCE:medium"
6306,"STANCE:contradict | EVIDENCE_IDS:4,5,6,8,9 | CONFIDENCE:medium"
16801,"STANCE:support | EVIDENCE_IDS:1,2,5,9,10 | CONFIDENCE:low"
14917,"STANCE:contradict | EVIDENCE_IDS:2,4,5,10,11,12 | CONFIDENCE:low"
5638,"STANCE:insufficient | EVIDENCE_IDS:3,6,7,8 | CONFIDENCE:low"
9578,"STANCE:contradict | EVIDENCE_IDS:2,4,5,6,7 | CONFIDENCE:high"
14067,"STANCE:contradict | EVIDENCE_IDS:1,2,4,7,8,9,10 | CONFIDENCE:high"
11688,"STANCE:support | EVIDENCE_IDS:3,4,8,10,12 | CONFIDENCE:high"
9205,"STANCE:contradict | EVIDENCE_IDS:3,4,7,9 | CONFIDENCE:medium"
50,"STANCE:support | EVIDENCE_IDS:2,3,5,6,8,9,13 | CONFIDENCE:medium"
6310,"STANCE:support | EVIDENCE_IDS:2,5,7,10,12,14 | CONFIDENCE:medium"
8906,"STANCE:support | EVIDENCE_IDS:1,3,8,9,10,11,13 | CONFIDENCE:low"
16709,"STANCE:support | EVIDENCE_IDS:1,5,7,10,12 | CONFIDENCE:medium"
15123,"STANCE:insufficient | EVIDENCE_IDS:3,5,7,10,12,13 | CONFIDENCE:low"
4126,"STANCE:insufficient | EVIDENCE_IDS:3,5,7,10 | CONFIDENCE:low"
4761,"STANCE:support | EVIDENCE_IDS:2,3,4,5,8,10 | CONFIDENCE:high"
17943,"STANCE:insufficient | EVIDENCE_IDS:3,4,5,8 | CONFIDENCE:low"
7918,"STANCE:support | EVIDENCE_IDS:1,4,5 | CONFIDENCE:low"
2846,"STANCE:contradict | EVIDENCE_IDS:3,7,8,9,11 | CONFIDENCE:medium"
2191,"STANCE:insufficient | EVIDENCE_IDS:4,6,7,8,9,10,11,12 | CONFIDENCE:low"
13909,"STANCE:contradict | EVIDENCE_IDS:1,2,4 | CONFIDENCE:low"
5467,"STANCE:support | EVIDENCE_IDS:3,5,7,8,10,11,13 | CONFIDENCE:high"
9479,"STANCE:contradict | EVIDENCE_IDS:1,4,5,6,7 | CONFIDENCE:medium"
1687,"STANCE:contradict | EVIDENCE_IDS:2,4,6,10,11,12 | CONFIDENCE:low"
19977,"STANCE:support | EVIDENCE_IDS:1,2,3,6,10 | CONFIDENCE:high"
14147,"STANCE:contradict | EVIDENCE_IDS:4,7,8,10,11 | CONFIDENCE:high"
18193,"STANCE:support | EVIDENCE_IDS:3,4,6,7,8,10 | CONFIDENCE:medium"
16464,STANCE:insufficient | EVIDENCE_IDS:none | CONFIDENCE:low
19514,"STANCE:support | EVIDENCE_IDS:2,5,7,8 | CONFIDENCE:high"
14184,"STANCE:support | EVIDENCE_IDS:2,3,6,11,12,13 | CONFIDENCE:low"
13416,"STANCE:support | EVIDENCE_IDS:2,4,5,6,7,8,10 | CONFIDENCE:high"
18027,"STANCE:contradict | EVIDENCE_IDS:1,2,5,6,8,12 | CONFIDENCE:low"
10670,"STANCE:insufficient | EVIDENCE_IDS:2,7,8,11 | CONFIDENCE:low"
1850,"STANCE:support | EVIDENCE_IDS:5,8,9,11,12,13 | CONFIDENCE:low"
1003,"STANCE:support | EVIDENCE_IDS:1,4,6,8,9,12 | CONFIDENCE:medium"
1133,"STANCE:insufficient | EVIDENCE_IDS:4,6,10,12 | CONFIDENCE:low"
4540,"STANCE:contradict | EVIDENCE_IDS:1,4,5,9,10 | CONFIDENCE:medium"
14902,"STANCE:support | EVIDENCE_IDS:2,5,8,9,12,13 | CONFIDENCE:medium"
15172,"STANCE:support | EVIDENCE_IDS:2,5,6,7,10,11 | CONFIDENCE:low"
15616,"STANCE:contradict | EVIDENCE_IDS:1,2,9,10,11 | CONFIDENCE:high"
3328,"STANCE:insufficient | EVIDENCE_IDS:4,8,9,10,11,12,14,15 | CONFIDENCE:low"
8384,"STANCE:contradict | EVIDENCE_IDS:2,6,9,10,12 | CONFIDENCE:low"
12278,"STANCE:contradict | EVIDENCE_IDS:2,5,8,9 | CONFIDENCE:medium"
15031,STANCE:insufficient | EVIDENCE_IDS:none | CONFIDENCE:low
9649,"STANCE:contradict | EVIDENCE_IDS:1,2,4,8,10,13 | CONFIDENCE:low"
8517,"STANCE:contradict | EVIDENCE_IDS:1,4,8,10,11 | CONFIDENCE:medium"
6538,"STANCE:contradict | EVIDENCE_IDS:1,5,6,8,9 | CONFIDENCE:medium"
7748,"STANCE:support | EVIDENCE_IDS:1,2,3,6,11 | CONFIDENCE:medium"
16956,"STANCE:support | EVIDENCE_IDS:1,4,5,6,9,10 | CONFIDENCE:low"
8715,"STANCE:contradict | EVIDENCE_IDS:2,5,6,7 | CONFIDENCE:medium"
4452,"STANCE:contradict | EVIDENCE_IDS:1,8,9,11 | CONFIDENCE:medium"
8449,"STANCE:contradict | EVIDENCE_IDS:2,4,8,11 | CONFIDENCE:high"
16914,"STANCE:contradict | EVIDENCE_IDS:1,4,5,7,8 | CONFIDENCE:low"
1033,"STANCE:contradict | EVIDENCE_IDS:1,2,4,6,7 | CONFIDENCE:high"
6013,"STANCE:contradict | EVIDENCE_IDS:1,3,4,5,9,10,12 | CONFIDENCE:medium"
19049,STANCE:insufficient | EVIDENCE_IDS:none | CONFIDENCE:low
1203,"STANCE:support | EVIDENCE_IDS:1,2,7,9,10,12,13 | CONFIDENCE:low"
8900,"STANCE:contradict | EVIDENCE_IDS:1,3,4,5,9 | CONFIDENCE:high"
14466,STANCE:insufficient | EVIDENCE_IDS:none | CONFIDENCE:low
19639,"STANCE:support | EVIDENCE_IDS:2,4,5,6,9,11 | CONFIDENCE:low"
17171,STANCE:insufficient | EVIDENCE_IDS:none | CONFIDENCE:low
8364,"STANCE:contradict | EVIDENCE_IDS:1,2,3,5,7 | CONFIDENCE:low"
557,"STANCE:support | EVIDENCE_IDS:4,5,7,9,12 | CONFIDENCE:medium"
18886,"STANCE:contradict | EVIDENCE_IDS:3,5,7,10,11,12 | CONFIDENCE:low"
9900,"STANCE:contradict | EVIDENCE_IDS:1,2,5,9,10,11 | CONFIDENCE:medium"
4474,"STANCE:support | EVIDENCE_IDS:1,4,5,6,8,9 | CONFIDENCE:low"
12641,STANCE:insufficient | EVIDENCE_IDS:none | CONFIDENCE:low
9728,STANCE:insufficient | EVIDENCE_IDS:none | CONFIDENCE:low
1462,"STANCE:support | EVIDENCE_IDS:1,5,8,10 | CONFIDENCE:high"
18157,"STANCE:insufficient | EVIDENCE_IDS:2,4,5,7,11,12,13,15 | CONFIDENCE:low"
1305,STANCE:insufficient | EVIDENCE_IDS:none | CONFIDENCE:low
8161,"STANCE:contradict | EVIDENCE_IDS:1,2,7,8 | CONFIDENCE:high"
19492,"STANCE:support | EVIDENCE_IDS:1,2,7 | CONFIDENCE:low"
15899,"STANCE:support | EVIDENCE_IDS:1,3,4,5,7,8,13 | CONFIDENCE:low"
17615,"STANCE:contradict | EVIDENCE_IDS:1,2,4,5,8 | CONFIDENCE:low"
12034,"STANCE:support | EVIDENCE_IDS:1,2,6,7,9 | CONFIDENCE:low"
5374,"STANCE:insufficient | EVIDENCE_IDS:1,4,9,10,11,12 | CONFIDENCE:low"
1524,"STANCE:support | EVIDENCE_IDS:7,8,10,12,14 | CONFIDENCE:low"
3799,"STANCE:support | EVIDENCE_IDS:2,6,8,10,12,13 | CONFIDENCE:medium"
18023,"STANCE:contradict | EVIDENCE_IDS:1,2,5,7,8 | CONFIDENCE:high"
14641,"STANCE:support | EVIDENCE_IDS:3,5,6,8,11,13 | CONFIDENCE:medium"
4245,"STANCE:support | EVIDENCE_IDS:3,5,6,8,10,11 | CONFIDENCE:high"
16231,"STANCE:support | EVIDENCE_IDS:3,4,5,7,10,11 | CONFIDENCE:low"
9979,"STANCE:support | EVIDENCE_IDS:1,2,3 | CONFIDENCE:low"
14819,"STANCE:support | EVIDENCE_IDS:3,4,5,7,10,11 | CONFIDENCE:low"
10610,STANCE:insufficient | EVIDENCE_IDS:none | CONFIDENCE:low
9971,"STANCE:support | EVIDENCE_IDS:2,3,8,10,13 | CONFIDENCE:low"
1666,"STANCE:support | EVIDENCE_IDS:3,5,7,8,9 | CONFIDENCE:low"
6183,"STANCE:support | EVIDENCE_IDS:3,7,8,9,10 | CONFIDENCE:low"
3117,"STANCE:insufficient | EVIDENCE_IDS:1,2,3,4,5,6,7,9 | CONFIDENCE:low"
10135,"STANCE:insufficient | EVIDENCE_IDS:1,2,3,7,9,10,12,13 | CONFIDENCE:low"
8478,"STANCE:support | EVIDENCE_IDS:3,7,8 | CONFIDENCE:low"
19232,"STANCE:support | EVIDENCE_IDS:2,3,4,11,12 | CONFIDENCE:low"
1795,"STANCE:support | EVIDENCE_IDS:2,4,5,6,12 | CONFIDENCE:medium"
13643,"STANCE:contradict | EVIDENCE_IDS:3,4,6,7,9 | CONFIDENCE:low"
13548,"STANCE:contradict | EVIDENCE_IDS:3,4,5,6,8,12,13 | CONFIDENCE:medium"
7875,"STANCE:contradict | EVIDENCE_IDS:2,3,4,5,9 | CONFIDENCE:high"
15494,"STANCE:insufficient | EVIDENCE_IDS:1,2,3,6,7,9,12,13 | CONFIDENCE:low"
3846,"STANCE:insufficient | EVIDENCE_IDS:4,6,8,9 | CONFIDENCE:low"
18794,STANCE:insufficient | EVIDENCE_IDS:none | CONFIDENCE:low
14285,"STANCE:contradict | EVIDENCE_IDS:1,2,4,6,8,9 | CONFIDENCE:medium"
3544,"STANCE:contradict | EVIDENCE_IDS:2,5,6,9,10,13,15 | CONFIDENCE:medium"
666,"STANCE:contradict | EVIDENCE_IDS:1,3,8,10,12 | CONFIDENCE:high"
7752,"STANCE:contradict | EVIDENCE_IDS:1,2,3,10 | CONFIDENCE:high"
9886,"STANCE:insufficient | EVIDENCE_IDS:3,4,6,8,9,11 | CONFIDENCE:low"
13197,"STANCE:support | EVIDENCE_IDS:1,3,5,8,9 | CONFIDENCE:high"
18514,"STANCE:contradict | EVIDENCE_IDS:3,4,6,8 | CONFIDENCE:medium"
240,"STANCE:insufficient | EVIDENCE_IDS:1,3,6,10,11,12,14,15 | CONFIDENCE:low"
1358,"STANCE:contradict | EVIDENCE_IDS:1,2,6,7,10,12 | CONFIDENCE:low"
13591,"STANCE:contradict | EVIDENCE_IDS:4,8,9,10 | CONFIDENCE:high"
15352,"STANCE:support | EVIDENCE_IDS:3,4,5,8,9,10,11,13 | CONFIDENCE:low"
10663,"STANCE:contradict | EVIDENCE_IDS:1,2,7,10,14 | CONFIDENCE:low"
5314,"STANCE:contradict | EVIDENCE_IDS:3,5,8,10,12 | CONFIDENCE:medium"
14937,"STANCE:support | EVIDENCE_IDS:1,3,4,7,8,9,11,13 | CONFIDENCE:low"
19617,"STANCE:support | EVIDENCE_IDS:3,4,5,8 | CONFIDENCE:medium"
15601,"STANCE:support | EVIDENCE_IDS:2,4,5,9,10 | CONFIDENCE:high"
17617,"STANCE:support | EVIDENCE_IDS:2,4,5,7,8,10 | CONFIDENCE:medium"
5988,"STANCE:support | EVIDENCE_IDS:1,5,7,11,12 | CONFIDENCE:medium"
13261,"STANCE:contradict | EVIDENCE_IDS:2,3,5,8,9 | CONFIDENCE:medium"
18330,"STANCE:insufficient | EVIDENCE_IDS:1,2,5,8,9,13 | CONFIDENCE:low"
4081,"STANCE:support | EVIDENCE_IDS:1,3,4,5,6,9,12 | CONFIDENCE:medium"
13271,"STANCE:insufficient | EVIDENCE_IDS:4,5,8,9,10,11 | CONFIDENCE:low"
2926,"STANCE:support | EVIDENCE_IDS:2,3,6,9,10,11 | CONFIDENCE:medium"
