id,output
12048,0-8-3
12049,1-5-0
12050,1-3-1
12051,1-9-0
12052,0-3-3
12053,1-8-4
12054,0-5-1
12055,0-8-3
12056,0-8-3
12057,0-8-2
12058,1-8-3
12059,1-8-0
12060,1-8-3
12061,1-3-3
12062,0-0-3
12063,1-3-4
12064,1-1-0
12065,1-4-2
12066,1-7-0
12067,0-0-3
12068,0-3-0
12069,1-5-0
12070,0-5-0
12071,0-4-3
12072,1-8-4
12073,1-3-4
12074,1-7-4
12075,0-8-0
12076,0-8-1
12077,0-8-1
12078,0-9-2
12079,1-5-2
12080,0-3-1
12081,1-1-3
12082,1-1-1
12083,1-5-1
12084,0-1-4
12085,1-5-1
12086,1-5-4
12087,0-7-1
12088,1-8-0
12089,0-8-0
12090,0-5-0
12091,1-5-2
12092,0-3-4
12093,0-4-4
12094,0-3-2
12095,1-3-0
12096,1-9-2
12097,1-8-1
12098,1-1-1
12099,0-5-2
12100,0-5-1
12101,1-8-0
12102,0-5-2
12103,0-9-2
12104,0-2-1
12105,0-6-2
12106,1-6-3
12107,1-6-3
12108,1-9-4
12109,1-9-0
12110,1-9-2
12111,0-4-2
12112,0-1-0
12113,1-1-3
12114,1-1-3
12115,1-7-3
12116,0-4-0
12117,0-8-3
12118,0-7-0
12119,1-7-2
12120,1-5-0
12121,1-8-1
12122,0-7-3
12123,1-7-3
12124,1-8-1
12125,0-8-1
12126,0-8-4
12127,0-3-1
12128,1-7-1
12129,0-7-4
12130,0-8-3
12131,0-8-1
12132,0-8-1
12133,0-8-3
12134,0-8-2
12135,0-8-4
12136,1-8-4
12137,0-5-3
12138,1-4-1
12139,1-7-4
12140,0-8-2
12141,0-3-2
12142,1-3-0
12143,0-4-2
12144,0-7-0
12145,1-8-3
12146,1-8-0
12147,0-8-0
12148,1-8-3
12149,1-8-3
12150,1-5-1
12151,0-9-1
12152,1-3-4
12153,0-8-0
12154,0-7-0
12155,0-3-0
12156,1-3-0
12157,0-7-4
12158,1-5-4
12159,1-8-3
12160,1-7-0
12161,0-3-3
