question_id,situation,question,output
4747,"On Plains terrain, a Ranger at level 4 (22 mana, 74 HP, 15 strength, 18 defense) attack the Ranger. The target is a level 7 Ranger with Frozen status on Swamp (15 HP, 18 strength, 8 defense), distant from the attacker.  The Ranger has Shielded status.",Can the Ranger attack the Ranger?,"<analysis>As a ranged unit, the Ranger strikes from a distance. Furthermore, the target is out of melee range — physical attacks cannot reach. Nothing prevents the action from succeeding normally.</analysis>
<outcome>ALLOWED</outcome>"
1199,"On Ruins terrain, a Paladin at level 10 (15 mana, 11 HP, 17 strength, 18 defense) cast Drain on the Paladin. The target is a level 5 Paladin on Plains (94 HP, 18 defense), adjacent to the caster.  The Paladin has Stunned status.",Can the Paladin cast Drain on the Paladin?,"<analysis>At level 8 and above, the caster's expertise mitigates terrain-based spell disruption (unit is level 10). On top of that, while Stunned, performing any cast action is impossible. Compounding this, the Drain spell demands 20 mana — anything less and the cast fails (current mana: 15). Beyond that, wounded units (below 15 HP) take a performance hit on cast actions. Additionally, high-defense targets (12+) resist Drain's life-stealing effect, reducing the amount siphoned. While not outright blocked, the outcome is modified from the standard result.</analysis>
<outcome>MODIFIED</outcome>"
5222,"On Swamp terrain, a Ranger at level 9 (23 mana, 50 HP, 7 strength, 18 defense) attack the Striker. The target is a level 10 Striker on Desert (28 HP, 11 strength, 19 defense), distant from the attacker. ",Can the Ranger attack the Striker?,"<analysis>The Ranger's ranged weapons reach non-adjacent targets without penalty. Meanwhile, when the target's defense exceeds the attacker's strength, damage output drops significantly. At the same time, the target is out of melee range — physical attacks cannot reach. However, against a target with 15+ defense, even powerful attacks are partially deflected. The attempt goes through as intended.</analysis>
<outcome>ALLOWED</outcome>"
4547,"On Swamp terrain, a Rogue at level 6 (45 mana, 57 HP, 15 strength, 6 defense) move to Ruins.  The Rogue has Invisible and Poisoned status.",Can the Rogue move to Ruins?,"<analysis>Invisibility reveals secret passages through otherwise restricted terrain. However, the Ruins environment is impassable for Rogue units. The action proceeds without restriction.</analysis>
<outcome>MODIFIED</outcome>"
1862,"A Healer of level 1 is on Mountain, carrying 7 mana with 76 HP left and combat stats of 13 strength and 7 defense. The target is a level 8 Ranger on Desert (38 HP, 18 strength, 11 defense), distant from the attacker. The attempt: attack the Ranger.",Can the Healer attack the Ranger?,"<analysis>From the Mountain's height, even melee units can strike distant targets below. Compounding this, melee attacks require the attacker to be adjacent to the target. The action proceeds without restriction.</analysis>
<outcome>ALLOWED</outcome>"
3214,"Healer (level 2) occupies Desert terrain. Current stats: 16 mana, 36 HP, 14 strength, 5 defense. The target is a level 1 Paladin with Poisoned status on Ruins (30 HP, 14 defense), adjacent to the caster. The Healer wants to cast Drain on the Paladin. The Healer has Burning and Invisible status.",Can the Healer cast Drain on the Paladin?,"<analysis>Drain costs 20 mana to cast. Without enough mana, the spell fizzles (current mana: 16). Furthermore, the target's defense of 12+ interferes with Drain, cutting the life steal in half. The action is prevented from going through.</analysis>
<outcome>BLOCKED</outcome>"
230,"On Forest terrain, a Striker at level 3 (23 mana, 5 HP, 10 strength, 18 defense) attack the Mage. The target is a level 8 Mage on Swamp (90 HP, 6 strength, 13 defense), adjacent to the attacker.  The Striker has Invisible status.",Can the Striker attack the Mage?,"<analysis>Striking while Invisible grants a devastating sneak attack bonus before the stealth breaks. Meanwhile, with HP below 15, the unit's attack effectiveness is significantly reduced. Additionally, the attacker's strength is lower than the target's defense, resulting in reduced damage. On top of that, combat effectiveness drops when fighting on Forest terrain. While not outright blocked, the outcome is modified from the standard result.</analysis>
<outcome>MODIFIED</outcome>"
33,"A Striker of level 4 is on Ruins, carrying 39 mana with 56 HP left and combat stats of 14 strength and 9 defense. The target is a level 10 Summoner with Burning and Invisible status on Mountain (91 HP, 4 strength, 16 defense), adjacent to the attacker. The attempt: attack the Summoner. The Striker has Poisoned status.",Can the Striker attack the Summoner?,"<analysis>The attacker's strength is lower than the target's defense, resulting in reduced damage. On top of that, against a target with 15+ defense, even powerful attacks are partially deflected. While not outright blocked, the outcome is modified from the standard result.</analysis>
<outcome>ALLOWED</outcome>"
3471,"The Striker is level 7, positioned on Plains with 34 HP and 30 mana remaining (20 strength, 13 defense). The unit tries to move to Swamp. The Striker has Frozen status.",Can the Striker move to Swamp?,"<analysis>The Frozen effect immobilizes the unit, blocking any attempt to move. However, a Striker finds Swamp terrain incompatible with their movement capabilities. The action is prevented from going through.</analysis>
<outcome>BLOCKED</outcome>"
3722,"On Mountain terrain, a Guardian at level 4 (20 mana, 22 HP, 5 strength, 12 defense) cast Drain on the Summoner. The target is a level 8 Summoner with Poisoned status on Ruins (69 HP, 3 defense), adjacent to the caster. ",Can the Guardian cast Drain on the Summoner?,"<analysis>Spellcasting is not available to Guardian units — they have no magical ability. Additionally, the Mountain environment prevents Drain from forming: the thin air disrupts concentration. The attempt fails completely under these conditions.</analysis>
<outcome>MODIFIED</outcome>"
944,"A level 10 Striker stands on Swamp terrain with 8 mana and 37 HP (strength 19, defense 13). The target is a level 9 Ranger with Shielded status on Plains (14 HP, 19 defense), adjacent to the caster. Striker attempts to cast Barrier on the Ranger.",Can the Striker cast Barrier on the Ranger?,"<analysis>At level 8 and above, the caster's expertise mitigates terrain-based spell disruption (unit is level 10). At the same time, a Striker has no capacity for magic and cannot cast any spell. Meanwhile, casting Barrier requires at least 28 mana. Insufficient mana blocks the spell. The action proceeds but with altered effects.</analysis>
<outcome>MODIFIED</outcome>"
1302,"Rogue (level 3) occupies Ruins terrain. Current stats: 46 mana, 33 HP, 15 strength, 3 defense. The target is a level 2 Guardian on Forest (90 HP, 7 defense), adjacent to the caster. The Rogue wants to cast Barrier on the Guardian.",Can the Rogue cast Barrier on the Guardian?,"<analysis>Excess mana (45+) supercharges Barrier, amplifying its potency significantly (current mana: 46). Compounding this, spellcasting is not available to Rogue units — they have no magical ability. Beyond that, barrier cannot be cast on Ruins terrain — residual dark energy interferes with the casting. The action proceeds but with altered effects.</analysis>
<outcome>MODIFIED</outcome>"
371,"A Healer of level 4 is on Desert, carrying 24 mana with 49 HP left and combat stats of 7 strength and 8 defense. The attempt: move to Mountain. The Healer has Invisible and Shielded status.",Can the Healer move to Mountain?,"<analysis>The Invisible status allows the unit to bypass terrain restrictions — stealth finds hidden paths. Furthermore, healers cannot traverse Mountain terrain due to their physical limitations. The attempt goes through as intended.</analysis>
<outcome>ALLOWED</outcome>"
932,"A level 4 Ranger stands on Swamp terrain with 39 mana and 72 HP (strength 20, defense 3). The target is a level 7 Ranger with Frozen status on Mountain (10 HP, 11 defense), adjacent to the caster. Ranger attempts to cast Shadowstep on the Ranger. The Ranger has Shielded status.",Can the Ranger cast Shadowstep on the Ranger?,"<analysis>Rangers lack arcane training and cannot cast spells. On top of that, only units of level 7 or higher can cast Shadowstep (unit is level 4). Ultimately, the action is blocked and cannot proceed.</analysis>
<outcome>BLOCKED</outcome>"
3909,"A Summoner of level 1 is on Desert, carrying 38 mana with 33 HP left and combat stats of 17 strength and 3 defense. The target is a level 3 Healer with Frozen status on Swamp (9 HP, 9 strength, 10 defense), distant from the attacker. The attempt: attack the Healer.",Can the Summoner attack the Healer?,"<analysis>The target is out of melee range — physical attacks cannot reach. At the same time, combat effectiveness drops when fighting on Desert terrain. The action is prevented from going through.</analysis>
<outcome>BLOCKED</outcome>"
1514,"A Mage of level 2 is on Plains, carrying 46 mana with 59 HP left and combat stats of 8 strength and 11 defense. The attempt: move to Forest. The Mage has Frozen status.",Can the Mage move to Forest?,"<analysis>Frozen units cannot move. The condition prevents all voluntary actions. At the same time, mages cannot traverse Forest terrain due to their physical limitations. Ultimately, the action is blocked and cannot proceed.</analysis>
<outcome>BLOCKED</outcome>"
3454,"A Striker of level 3 is on Ruins, carrying 37 mana with 62 HP left and combat stats of 12 strength and 13 defense. The target is a level 4 Healer on Ruins (36 HP, 3 defense), adjacent to the caster. The attempt: cast Rally on the Healer. The Striker has Shielded status.",Can the Striker cast Rally on the Healer?,"<analysis>The close proximity of the target enhances Rally's effect, providing a stronger buff. Furthermore, strikers lack arcane training and cannot cast spells. The action proceeds but with altered effects.</analysis>
<outcome>MODIFIED</outcome>"
5013,"A level 3 Striker stands on Mountain terrain with 49 mana and 5 HP (strength 15, defense 11). The target is a level 7 Ranger with Invisible and Poisoned status on Swamp (18 HP, 15 strength, 12 defense), distant from the attacker. Striker attempts to attack the Ranger. The Striker has Burning status.",Can the Striker attack the Ranger?,"<analysis>From the Mountain's height, even melee units can strike distant targets below. Meanwhile, with HP below 15, the unit's attack effectiveness is significantly reduced. Furthermore, the target is out of melee range — physical attacks cannot reach. Nothing prevents the action from succeeding normally.</analysis>
<outcome>ALLOWED</outcome>"
8,"A Guardian of level 4 is on Plains, carrying 29 mana with 90 HP left and combat stats of 15 strength and 19 defense. The target is a level 4 Guardian with Burning status on Swamp (87 HP, 17 strength, 18 defense), distant from the attacker. The attempt: attack the Guardian. The Guardian has Invisible status.",Can the Guardian attack the Guardian?,"<analysis>Striking while Invisible grants a devastating sneak attack bonus before the stealth breaks. Compounding this, the attacker's strength is lower than the target's defense, resulting in reduced damage. Meanwhile, melee attacks require the attacker to be adjacent to the target. Additionally, the target's defense exceeding 15 represents thick armor that blunts most attacks. The action succeeds in a modified form.</analysis>
<outcome>BLOCKED</outcome>"
2103,"The Mage is level 3, positioned on Desert with 48 HP and 46 mana remaining (14 strength, 8 defense). The target is a level 10 Summoner on Forest (30 HP, 5 strength, 13 defense), adjacent to the attacker. The unit tries to attack the Summoner. The Mage has Stunned status.",Can the Mage attack the Summoner?,"<analysis>While Stunned, performing any attack action is impossible. However, until reaching level 6, Mage attacks are weakened significantly (unit is level 3). Additionally, attacking from Desert terrain imposes an accuracy penalty due to unstable footing. Ultimately, the action is blocked and cannot proceed.</analysis>
<outcome>BLOCKED</outcome>"
1630,"A Healer of level 2 is on Plains, carrying 16 mana with 32 HP left and combat stats of 14 strength and 15 defense. The target is a level 3 Guardian on Swamp (64 HP, 9 defense), adjacent to the caster. The attempt: cast Lightning on the Guardian. The Healer has Invisible status.",Can the Healer cast Lightning on the Guardian?,"<analysis>Lightning costs 30 mana to cast. Without enough mana, the spell fizzles (current mana: 16). On top of that, only units of level 7 or higher can cast Lightning (unit is level 2). The action is prevented from going through.</analysis>
<outcome>BLOCKED</outcome>"
2146,"A level 2 Rogue stands on Forest terrain with 38 mana and 11 HP (strength 12, defense 4). The target is a level 2 Rogue with Burning status on Plains (64 HP, 5 strength, 19 defense), adjacent to the attacker. Rogue attempts to attack the Rogue.",Can the Rogue attack the Rogue?,"<analysis>Until reaching level 4, Rogue attacks are weakened significantly (unit is level 2). Meanwhile, with HP below 15, the unit's attack effectiveness is significantly reduced. However, the attacker's strength is lower than the target's defense, resulting in reduced damage. Additionally, combat effectiveness drops when fighting on Forest terrain. Beyond that, the target's defense exceeding 15 represents thick armor that blunts most attacks. While not outright blocked, the outcome is modified from the standard result.</analysis>
<outcome>MODIFIED</outcome>"
3252,"The Healer is level 6, positioned on Desert with 74 HP and 46 mana remaining (18 strength, 17 defense). The target is a level 10 Healer on Swamp (13 HP, 13 defense), adjacent to the caster. The unit tries to cast Rally on the Healer.",Can the Healer cast Rally on the Healer?,"<analysis>Adjacent allies receive a more potent Rally buff due to the caster's direct presence. At the same time, casting Rally in Desert fails because extreme heat destabilizes the spell structure. While not outright blocked, the outcome is modified from the standard result.</analysis>
<outcome>MODIFIED</outcome>"
