id,dialect,transformed,original
1068,DL-D,dra engineer generatdt dra operational report,the engineer generated operational the report
11854,quilmari,eadotur cuurdonetis prilomonery fondongs,the auditor coordinates preliminary the findings
9282,DL-B,the director the metrics and verifiek the benchmark transmittek,the director transmitted the metrics and verified the benchmark
18066,drakmori,dra strategist configurdt dra provisional dataset,the strategist configured provisional the dataset
8986,korathi,the advisor   the benchmark analyzek,the advisor analyzed the benchmark
7406,drakmori,dra inspector periodicali generates dra   records,the inspector periodically generates the records
3029,DL-D,dra   planner calibrates dra framework,the planner calibrates the framework
2391,nelvosi,el scientist validates preliminary el pipeline,the scientist validates preliminary the pipeline
17575,korathi,the analyst iterative the framework validatox,the analyst validates iterative the framework
5380,nelvosi,el designer generates redundant el framework acrnetwork,the designer generates redundant the framework across the network
14297,velthari,ze director processes ze records,the director processes the records
3423,velthari,ze inspector reviewed automated ze findings denwhy ze audit revealed issues,the inspector reviewed automated the findings because the audit revealed issues
6667,DL-D,dra inspector verifies dra report,the inspector verifies the report
5567,nelvosi,el planner reviewado adaptive el results porke el standards changado recen,the planner reviewed adaptive the results because the standards changed recently
10657,DL-B,the developer distributek the output because the audit revealek issuo xtransmittek,the developer transmitted distributed the output because the audit revealed issues
18722,korathi,the inspector regulatory the module across the network verifiek,the inspector verified regulatory the module across the network
13706,velthari,Ze startegist transmitted Ze metrics,the strategist transmitted the metrics
16858,velthari,ze strategist validated preliminary ze components,the strategist validated preliminary the components
16454,drakmori,dra strategist accurately evaluates dra functional dataset,the strategist accurately evaluates functional the dataset
4632,quilmari,risierchir celobretis stractarel sognels,the researcher calibrates structural the signals
10279,DL-A,ze auditor transmits ze   configurashun durven ze review,the auditor transmits the configuration during the review
9318,velthari,ze planner efficientli monitors experimental ze findings,the planner efficiently monitors experimental the findings
9071,DL-D,dra auditor calibrates dra specificatsn,the auditor calibrates the specification
11162,DL-C,el Developer accuratemente calibrates adaptive el findings,the developer accurately calibrates adaptive the findings
11481,drakmori,dra engineer tranmsits dra automatdt pipeline,the engineer transmits automated the pipeline
13049,nelvosi,el coordinator rapidmente reviewado el signals,the coordinator rapidly reviewed the signals
1570,DL-D,dra manager documentdt Dra pipeline,the manager documented the pipeline
9548,velthari,ze supervisor processes ze framework within ze departmek,the supervisor processes the framework within the department
19641,nelvosi,el engineer Verifiado el output porke el deadline era acercan,the engineer verified the output because the deadline was approaching
14949,quilmari,cunsaltent piroudocelim cunfogaris ixpirominel spicofocetoun,the consultant periodically configures experimental the specification
14929,DL-E,edvosur Rivoiwit Dostrobatit fremiwurk wothon dipertmint,the advisor reviewed distributed the framework within the department
5690,drakmori,dra architect reviewdt dra iterativ benchmark kaus dra audit revealdt issues,the architect reviewed iterative the benchmark because the audit revealed issues
17845,korathi,the Manager Monitors the module periodicalmo,the manager periodically monitors the module
720,nelvosi,el planner schedulado el components,the planner scheduled the components
4590,quilmari,scointost ixemonit detesit Ak uptomozit ripurt,the scientist examined the dataset and optimized the report
9016,DL-D,trotz dra Team var untermann dra engineer scheduldt dra samples,although the team was understaffed the engineer scheduled the samples
17676,DL-B,the scientist regulatory the module because the standards changek recentmo generatek,the scientist generated regulatory the module because the standards changed recently
8951,drakmori,dra analyst measures dra interface fur dra project,the analyst measures the interface for the project
1597,velthari,ze advisor calibrated ze components Durven ze review,the advisor calibrated the components during the review
3519,DL-A,ze designer examined ze findings,the designer examined the findings
3093,DL-A,ze director implemented ze report,the director implemented the report
2927,quilmari,tichnocoen Munoturit peremitirs,the technician monitored the parameters
13828,quilmari,cuurdonetur piroudocelim giniretit fremiwurk,the coordinator periodically generated the framework
1694,korathi,the strategist monitors concurrent the components reliabmo,the strategist reliably monitors concurrent the components
2034,nelvosi,El researcher schedulado operational el components porke el standards changado recen,the researcher scheduled operational the components because the standards changed recently
5360,DL-D,dra strategist   measurdt dra systematic results,the strategist measured systematic the results
6006,DL-A,ze Researcher examined Systematic ze results,the researcher examined systematic the results
10347,quilmari,stretigost uptomozit risalts ad stetoun,the strategist optimized the results at the station
8826,DL-E,scointost systimetocelimv elodetit ontirfeci,the scientist systematically validated the interface
818,korathi,the Designer sequential the Framework schedulek,the designer scheduled sequential the framework
6167,nelvosi,el designer schedules el findings   thrsystem,the designer schedules the findings through the system
18458,drakmori,dra   director calibrates dra provisional parameters inn dra facility,the director calibrates provisional the parameters in the facility
921,drakmori,dra supervisor documents dra functional records,the supervisor documents functional the records
9407,velthari,evenwhen ze data waz partven zel coordinator examined ze results,although the data was incomplete the coordinator examined the results
2804,nelvosi,El coordinator accuratemente generates el metrics,the coordinator accurately generates the metrics
12886,DL-E,spicoelost uptomozis detesit ad stetoun,the specialist optimizes the dataset at the station
8262,quilmari,tichnocoen trensmots otiretovi spicofocetoun,the technician transmits iterative the specification
15905,korathi,the analyst sequential the pipeline before the deadline verifiox,the analyst verifies sequential the pipeline before the deadline
13035,DL-B,the consultant the results with the equipment compilox,the consultant compiles the results with the equipment
17367,nelvosi,el designer monitorad experimental el samples wequipment,the designer monitored experimental the samples with the equipment
19827,korathi,the planner sequential the parameters within the department examinox,the planner examines sequential the parameters within the department
2785,quilmari,eadotur eccaretiim ivelaetit   schime,the auditor accurately evaluated the schema
18310,drakmori,dra operator systematicali   processes dra functional specificatsn,the operator systematically processes functional the specification
9037,DL-D,dra designer evaluatdt dra structural findings through dra system,the designer evaluated structural the findings through the system
16067,DL-B,the strategist   transmittek the signals accuratemo,the strategist accurately transmitted the signals
9683,DL-C,el planner calibrates automatado el interface,the planner calibrates automated the interface
17210,drakmori,dra researcher measurdt drax automatdt framework mit dra equipmnt,the researcher measured automated the framework with the equipment
19464,quilmari,Divilupir iffocointim munoturi tsemplis,the developer efficiently monitored the samples
17471,velthari,ze manager preciseli optimized ze pipeline,the manager precisely optimized the pipeline
6677,quilmari,Risierchir virofoit ricurd sdaront rivoiw,the researcher verified the records during the review
15293,drakmori,dra director deploydt dra report und verifidt dra results,the director deployed the report and verified the results
18755,quilmari,plennir ivelaetis systimetoc mudali ecruss nitwurk,the planner evaluates systematic the module across the network
5259,DL-B,the supervisor regulatory the findings before the deadlie configurox,the supervisor configures regulatory the findings before the deadline
1377,korathi,the   coordinator operational the benchmark within the department compilox,the coordinator compiles operational the benchmark within the department
7552,velthari,ze consultant validated ze configurasdhun denwhy ze   audit revealed issues,the consultant validated the configuration because the audit revealed issues
17745,DL-E,Ingoniir ixemonit ripurt Ak munoturit schime,the engineer examined the report and monitored the schema
1663,DL-B,although the data incomplee the coordinator schedulek the metrics was,although the data was incomplete the coordinator scheduled the metrics
18367,DL-E,cunsaltent ondipindintim uptomozit sognels,the consultant independently optimized the signals
9008,drakmori,dra coordinator verifidt dra configuratsn across dra network,the coordinator verified the configuration across the network
19021,DL-E,Scointost Cunfogaris prutucul,the scientist configures the protocol
4259,quilmari,scointost riloebim enelyzis fremiwurk,the scientist reliably analyzes the framework
12151,DL-D,dra inspector monitors dra protocol,the inspector monitors the protocol
7104,DL-D,dra consultant deploydt   dra systematic interface,the consultant deployed systematic the interface
3128,korathi,the   developer the report with the equipment calibratox,the developer calibrates the report with the equipment
7217,velthari,ze operator consistentli schedules ze schema,the operator consistently schedules the schema
10308,drakmori,trotz dra   resources varen begrenz dra specialist processdt dra records,although the resources were limited the specialist processed the records
15105,velthari,ze researcher Generates ze components under ze protocol,the researcher generates the components under the protocol
1489,DL-A,ze architect systematicalli evaluates distributed   ze findings,the architect systematically evaluates distributed the findings
1267,quilmari,edvosur cuurdonetis Pruvosounel Mitrocs eftir onspictoun,the advisor coordinates provisional the metrics after the inspection
6893,DL-D,dra coordinator rapidly implements dra   protocol,the coordinator rapidly implements the protocol
6868,quilmari,spicoelost ducamintit peremitirs kwabec cloint riqaistit mudofocetouns,the specialist documented the parameters because the client requested modifications
19525,nelvosi,Masque el data era incomple el planner implementado el results,although the data was incomplete the planner implemented the results
2186,quilmari,eadotur cunfogarit pruvosounel binchmerk bifuri diedloni,the auditor configured provisional the benchmark before the deadline
6004,nelvosi,el analyst reviewado distributado el protocol porke el client   requestado modifications,the analyst reviewed distributed the protocol because the client requested modifications
11499,drakmori,dra scientist documentdt dra comprehensiv pipeline kaus dra standards changdt neulik,the scientist documented comprehensive the pipeline because the standards changed recently
12922,velthari,ze scientist systematicalli processes ze report,the scientist systematically processes the report
10080,korathi,the architect integratek the signals monitors,the architect monitors integrated the signals
14857,drakmori,dra strategist analyzdt dra framework und Evaluatdt Dra module,the strategist analyzed the framework and evaluated the module
2176,drakmori,dra engineer coordinates dra integratdt dataset under dra protocol,the engineer coordinates integrated the dataset under the protocol
10491,drakmori,dra strategist optimizdt dra integratdt specificatsn kaus dra deadline var nahend,the strategist optimized integrated the specification because the deadline was approaching
8537,DL-E,risierchir virofoit schime ad stetoun,the researcher verified the schema at the station
19983,DL-C,el consultant compilado El benchmark porke el audit revealado issues,the consultant compiled the benchmark because the audit revealed issues
