question_id,analysis,outcome
1247,"While Frozen, performing any cast action is impossible. On top of that, casting Drain in Mountain fails because the thin air disrupts concentration. The attempt fails completely under these conditions.",BLOCKED
3526,"Rally cast on an adjacent ally has increased effectiveness — proximity amplifies the morale boost. Additionally, strikers lack arcane training and cannot cast spells. At the same time, rally costs 35 mana to cast. Without enough mana, the spell fizzles (current mana: 23). While not outright blocked, the outcome is modified from the standard result.",MODIFIED
2514,"Insufficient strength against the target's defenses means the attack deals partial damage. Additionally, without adjacency, a melee attack has no chance of connecting. Compounding this, attacking from Forest terrain imposes an accuracy penalty due to unstable footing. Meanwhile, targets with defense above 15 are heavily armored — attacks deal substantially reduced damage. Ultimately, the action is blocked and cannot proceed.",BLOCKED
1007,"A sneak attack from Invisible status doubles the damage output, but reveals the attacker. Beyond that, the target is out of melee range — physical attacks cannot reach. While not outright blocked, the outcome is modified from the standard result.",MODIFIED
2064,"A Striker has no capacity for magic and cannot cast any spell. Furthermore, high-defense targets (12+) resist Drain's life-stealing effect, reducing the amount siphoned. The attempt fails completely under these conditions.",BLOCKED
4350,"The Invisible status allows the unit to bypass terrain restrictions — stealth finds hidden paths. At the same time, the Frozen effect immobilizes the unit, blocking any attempt to move. The attempt goes through as intended.",ALLOWED
1690,"Healing an adjacent ally with 30+ mana produces an empowered effect — restoring significantly more HP (current mana: 38). Beyond that, rogues lack arcane training and cannot cast spells. The action proceeds but with altered effects.",MODIFIED
4756,"Elevation advantage on Mountain terrain turns all attacks into ranged attacks. On top of that, insufficient strength against the target's defenses means the attack deals partial damage. However, without adjacency, a melee attack has no chance of connecting. At the same time, targets with defense above 15 are heavily armored — attacks deal substantially reduced damage. Nothing prevents the action from succeeding normally.",ALLOWED
1985,"Stunned units cannot cast spells. The condition prevents all voluntary actions. Furthermore, casting Heal while under Stunned produces a synergy that strengthens the spell. On top of that, spellcasting is not available to Rogue units — they have no magical ability. However, casting Heal requires at least 18 mana. Insufficient mana blocks the spell (current mana: 16). Additionally, heal cannot be cast on Swamp terrain — the waterlogged ground absorbs magical energy. The attempt fails completely under these conditions.",BLOCKED
294,"Frozen units cannot attack. The condition prevents all voluntary actions. On top of that, when the target's defense exceeds the attacker's strength, damage output drops significantly. Ultimately, the action is blocked and cannot proceed.",BLOCKED
1547,"Rally cast on an adjacent ally has increased effectiveness — proximity amplifies the morale boost. However, rangers lack arcane training and cannot cast spells. The action proceeds but with altered effects.",MODIFIED
2012,"While Stunned, performing any cast action is impossible. Beyond that, fireball costs 28 mana to cast. Without enough mana, the spell fizzles (current mana: 24). Compounding this, only units of level 6 or higher can cast Fireball (unit is level 1). The action is prevented from going through.",BLOCKED
