id,verdict
17762,FACILITY:WYR-0299 | VIOLATIONS:none | COUNT:0 | SEVERITY:negligible | ACTION:no_action | PENALTY:none
781,"FACILITY:VLN-7529 | VIOLATIONS:containment_breach,emission_excess,leak,seal_degradation,thermal_deviation | COUNT:5 | SEVERITY:critical | ACTION:immediate_halt | PENALTY:tier_D"
8683,FACILITY:FWS-0908 | VIOLATIONS:chemical_spill | COUNT:1 | SEVERITY:low | ACTION:immediate_halt | PENALTY:none
17383,"FACILITY:HCG-2315 | VIOLATIONS:chemical_spill,corrosion_detected,emission_excess,waste_overflow | COUNT:4 | SEVERITY:critical | ACTION:partial_shutdown | PENALTY:none"
12770,"FACILITY:QMT-3895 | VIOLATIONS:runoff_contamination,ventilation_fault | COUNT:2 | SEVERITY:elevated | ACTION:reinspect_30d | PENALTY:none"
3702,FACILITY:WYR-7167 | VIOLATIONS:none | COUNT:0 | SEVERITY:negligible | ACTION:no_action | PENALTY:none
17193,"FACILITY:WYR-9449 | VIOLATIONS:filter_failure,leak,pressure_anomaly,seal_degradation,waste_overflow | COUNT:5 | SEVERITY:critical | ACTION:immediate_halt | PENALTY:tier_E"
5332,"FACILITY:PSN-6625 | VIOLATIONS:chemical_spill,leak,noise_exceedance,particulate_spike,ventilation_fault | COUNT:5 | SEVERITY:critical | ACTION:reinspect_7d | PENALTY:none"
11736,"FACILITY:UBT-6384 | VIOLATIONS:corrosion_detected,emission_excess,noise_exceedance,seal_degradation,structural_crack,ventilation_fault | COUNT:6 | SEVERITY:critical | ACTION:partial_shutdown | PENALTY:none"
14306,"FACILITY:WYR-1667 | VIOLATIONS:chemical_spill,containment_breach,runoff_contamination,thermal_deviation | COUNT:4 | SEVERITY:high | ACTION:partial_shutdown | PENALTY:tier_C"
17820,"FACILITY:TXL-5182 | VIOLATIONS:emission_excess,pressure_anomaly | COUNT:2 | SEVERITY:elevated | ACTION:immediate_halt | PENALTY:tier_B"
17356,"FACILITY:ZRD-8590 | VIOLATIONS:corrosion_detected,particulate_spike,pressure_anomaly | COUNT:3 | SEVERITY:critical | ACTION:immediate_halt | PENALTY:tier_B"
11209,"FACILITY:VLN-7654 | VIOLATIONS:containment_breach,leak,thermal_deviation | COUNT:3 | SEVERITY:elevated | ACTION:immediate_halt | PENALTY:none"
8308,FACILITY:JNK-8380 | VIOLATIONS:seal_degradation | COUNT:1 | SEVERITY:critical | ACTION:immediate_halt | PENALTY:none
132,FACILITY:HCG-9496 | VIOLATIONS:runoff_contamination | COUNT:1 | SEVERITY:moderate | ACTION:full_shutdown | PENALTY:none
188,"FACILITY:ZRD-3571 | VIOLATIONS:containment_breach,leak,pressure_anomaly,waste_overflow | COUNT:4 | SEVERITY:high | ACTION:immediate_halt | PENALTY:none"
3230,FACILITY:HCG-1445 | VIOLATIONS:ventilation_fault | COUNT:1 | SEVERITY:low | ACTION:partial_shutdown | PENALTY:tier_C
16332,FACILITY:ZRD-6682 | VIOLATIONS:none | COUNT:0 | SEVERITY:negligible | ACTION:no_action | PENALTY:none
19377,"FACILITY:BPH-1125 | VIOLATIONS:particulate_spike,seal_degradation,thermal_deviation | COUNT:3 | SEVERITY:elevated | ACTION:immediate_halt | PENALTY:none"
13623,"FACILITY:BPH-4738 | VIOLATIONS:containment_breach,emission_excess,structural_crack,thermal_deviation,waste_overflow | COUNT:5 | SEVERITY:critical | ACTION:full_shutdown | PENALTY:none"
1100,"FACILITY:JNK-9070 | VIOLATIONS:particulate_spike,pressure_anomaly,structural_crack,waste_overflow | COUNT:4 | SEVERITY:critical | ACTION:partial_shutdown | PENALTY:none"
16430,FACILITY:BPH-6038 | VIOLATIONS:structural_crack | COUNT:1 | SEVERITY:moderate | ACTION:no_action | PENALTY:none
17852,FACILITY:HCG-0577 | VIOLATIONS:ventilation_fault | COUNT:1 | SEVERITY:elevated | ACTION:reinspect_30d | PENALTY:none
6771,FACILITY:VLN-0414 | VIOLATIONS:leak | COUNT:1 | SEVERITY:moderate | ACTION:no_action | PENALTY:none
13747,"FACILITY:QMT-9178 | VIOLATIONS:chemical_spill,containment_breach,emission_excess,structural_crack | COUNT:4 | SEVERITY:critical | ACTION:log_only | PENALTY:none"
1780,FACILITY:ZRD-5262 | VIOLATIONS:none | COUNT:0 | SEVERITY:negligible | ACTION:no_action | PENALTY:none
9488,"FACILITY:DRM-2677 | VIOLATIONS:containment_breach,leak | COUNT:2 | SEVERITY:critical | ACTION:reinspect_30d | PENALTY:none"
13116,"FACILITY:AEL-8780 | VIOLATIONS:emission_excess,structural_crack | COUNT:2 | SEVERITY:moderate | ACTION:reinspect_7d | PENALTY:none"
12619,"FACILITY:AEL-5288 | VIOLATIONS:corrosion_detected,filter_failure,noise_exceedance,pressure_anomaly,ventilation_fault | COUNT:5 | SEVERITY:critical | ACTION:reinspect_7d | PENALTY:none"
10972,FACILITY:KRX-2905 | VIOLATIONS:structural_crack | COUNT:1 | SEVERITY:low | ACTION:no_action | PENALTY:none
8225,"FACILITY:CGN-8571 | VIOLATIONS:corrosion_detected,filter_failure,seal_degradation | COUNT:3 | SEVERITY:critical | ACTION:immediate_halt | PENALTY:none"
11546,"FACILITY:AEL-8544 | VIOLATIONS:chemical_spill,containment_breach,filter_failure,pressure_anomaly,seal_degradation,ventilation_fault | COUNT:6 | SEVERITY:critical | ACTION:partial_shutdown | PENALTY:none"
6149,"FACILITY:CGN-9673 | VIOLATIONS:containment_breach,filter_failure,particulate_spike,runoff_contamination,thermal_deviation | COUNT:5 | SEVERITY:critical | ACTION:reinspect_7d | PENALTY:none"
6080,"FACILITY:JNK-4336 | VIOLATIONS:containment_breach,runoff_contamination,thermal_deviation,ventilation_fault | COUNT:4 | SEVERITY:high | ACTION:full_shutdown | PENALTY:tier_D"
14217,FACILITY:TXL-0114 | VIOLATIONS:seal_degradation | COUNT:1 | SEVERITY:low | ACTION:no_action | PENALTY:none
14637,"FACILITY:AEL-1956 | VIOLATIONS:corrosion_detected,emission_excess,filter_failure,noise_exceedance,seal_degradation | COUNT:5 | SEVERITY:critical | ACTION:reinspect_30d | PENALTY:none"
4525,"FACILITY:VLN-8424 | VIOLATIONS:noise_exceedance,waste_overflow | COUNT:2 | SEVERITY:elevated | ACTION:full_shutdown | PENALTY:tier_B"
2355,FACILITY:HCG-8536 | VIOLATIONS:none | COUNT:0 | SEVERITY:negligible | ACTION:no_action | PENALTY:none
5149,"FACILITY:DRM-9247 | VIOLATIONS:filter_failure,structural_crack | COUNT:2 | SEVERITY:moderate | ACTION:partial_shutdown | PENALTY:none"
4534,"FACILITY:JNK-2524 | VIOLATIONS:noise_exceedance,particulate_spike,seal_degradation | COUNT:3 | SEVERITY:elevated | ACTION:full_shutdown | PENALTY:none"
7155,"FACILITY:MVO-7549 | VIOLATIONS:chemical_spill,containment_breach,structural_crack,thermal_deviation,waste_overflow | COUNT:5 | SEVERITY:critical | ACTION:log_only | PENALTY:none"
4284,"FACILITY:FWS-2774 | VIOLATIONS:corrosion_detected,leak | COUNT:2 | SEVERITY:moderate | ACTION:reinspect_30d | PENALTY:none"
18693,"FACILITY:WYR-2600 | VIOLATIONS:noise_exceedance,runoff_contamination,thermal_deviation,ventilation_fault | COUNT:4 | SEVERITY:high | ACTION:log_only | PENALTY:none"
9453,"FACILITY:MVO-4423 | VIOLATIONS:chemical_spill,containment_breach,leak,structural_crack | COUNT:4 | SEVERITY:high | ACTION:partial_shutdown | PENALTY:none"
4174,FACILITY:UBT-8068 | VIOLATIONS:none | COUNT:0 | SEVERITY:negligible | ACTION:no_action | PENALTY:none
1116,"FACILITY:DRM-8790 | VIOLATIONS:noise_exceedance,particulate_spike | COUNT:2 | SEVERITY:high | ACTION:log_only | PENALTY:none"
