id,input_tokens,feat_1,feat_2,feat_3,priority,output
0,T_05 T_39 T_19 T_04,0.497,71.63,2.578,1,1-3-3
1,T_33 T_04 T_39 T_03,-0.138,99.79,0.086,4,0-3-4
2,T_10 T_33 T_04 T_39,0.648,34.85,1.328,5,1-3-1
3,T_04 T_02 T_01 T_39 T_22,1.523,83.3,3.183,1,1-3-4
4,T_04 T_39 T_15 T_37 T_21,-0.234,69.76,1.643,1,1-5-0
5,T_37 T_30 T_39 T_04,-0.234,69.14,0.417,5,0-3-0
6,T_39 T_28 T_01 T_04,1.579,32.58,1.335,4,0-3-1
7,T_16 T_39 T_33 T_21 T_04,0.767,78.56,5.084,5,0-5-0
8,T_04 T_06 T_21 T_33 T_39,-0.469,90.04,1.921,2,1-3-1
9,T_39 T_04 T_14 T_05 T_25,0.543,21.85,2.557,1,0-6-3
10,T_08 T_20 T_14 T_39 T_04,-0.463,62.55,0.82,3,1-9-0
11,T_39 T_04 T_07 T_22 T_05,-0.466,39.21,0.418,5,0-3-3
12,T_09 T_39 T_04 T_37,0.242,98.95,0.59,5,0-4-3
13,T_23 T_13 T_04 T_39 T_01,-1.913,47.88,1.524,1,0-3-1
14,T_24 T_14 T_04 T_22 T_39,-1.725,22.83,0.658,1,1-7-0
15,T_39 T_04 T_08 T_18,-0.562,38.19,1.562,5,0-8-4
16,T_01 T_11 T_39 T_04,-1.013,65.38,2.461,3,0-7-1
17,T_04 T_05 T_39 T_29 T_17,0.314,7.61,2.651,1,1-8-4
18,T_35 T_08 T_39 T_04,-0.908,60.36,0.36,1,1-3-4
19,T_39 T_27 T_22 T_04,-1.412,93.12,2.776,2,0-5-1
20,T_34 T_04 T_05 T_14 T_39,1.466,85.04,2.234,4,1-3-4
21,T_05 T_08 T_04 T_32 T_39,-0.226,6.77,0.024,2,1-3-1
22,T_33 T_39 T_12 T_04 T_21,0.068,99.34,0.121,3,1-7-4
23,T_22 T_39 T_04 T_00,-1.425,69.87,2.078,4,1-3-4
24,T_37 T_04 T_22 T_36 T_19,-0.544,16.23,0.968,5,1-8-2
25,T_03 T_04 T_08 T_36,0.111,1.24,0.316,3,0-8-3
26,T_17 T_04 T_36 T_10,-1.151,17.13,0.091,3,1-8-0
27,T_04 T_02 T_36 T_21,0.376,83.82,0.347,2,1-8-3
28,T_04 T_15 T_13 T_36,-0.601,2.16,6.317,4,1-8-4
29,T_08 T_36 T_05 T_30 T_04,-0.292,23.31,2.601,3,0-8-4
30,T_16 T_13 T_36 T_21 T_04,-0.602,75.73,1.5,4,0-8-4
31,T_04 T_06 T_14 T_36 T_05,1.852,58.61,5.679,5,1-8-0
32,T_04 T_25 T_36 T_05,-0.013,78.27,1.93,4,0-8-2
33,T_36 T_01 T_04 T_37 T_20,-1.058,74.62,2.587,2,1-9-4
34,T_04 T_36 T_07 T_17,0.823,5.06,0.664,2,0-8-2
35,T_36 T_04 T_05 T_22 T_09,-1.221,89.25,1.778,3,0-8-2
36,T_04 T_23 T_36 T_14,0.209,22.7,0.31,4,0-8-0
37,T_33 T_22 T_36 T_24 T_04,-1.96,55.34,1.037,2,1-8-4
38,T_36 T_21 T_04 T_31 T_22,-1.328,64.43,0.068,1,0-8-4
39,T_26 T_22 T_04 T_36,0.197,16.86,0.488,2,0-8-2
40,T_04 T_05 T_18 T_08 T_36,0.738,97.62,0.156,5,0-8-3
41,T_08 T_36 T_04 T_11,0.171,48.82,0.981,1,0-8-0
42,T_04 T_36 T_08 T_29,-0.116,5.76,3.703,4,1-8-3
43,T_04 T_35 T_21 T_01 T_36,-0.301,93.73,0.949,3,1-8-3
44,T_27 T_04 T_01 T_36,-1.479,58.63,3.563,1,0-8-0
45,T_01 T_36 T_34 T_04,-0.72,69.92,2.137,2,1-8-3
46,T_14 T_04 T_32 T_36,-0.461,52.52,1.425,3,1-8-0
47,T_37 T_36 T_04 T_12,1.057,83.47,0.541,3,1-8-3
48,T_04 T_05 T_00 T_36,0.344,3.31,5.106,3,1-8-3
49,T_19 T_04 T_13 T_22 T_38,-1.763,26.84,0.111,3,1-8-3
50,T_04 T_33 T_19 T_10 T_17,0.324,46.96,2.335,4,0-3-0
51,T_19 T_08 T_04 T_15,-0.385,7.66,1.942,4,0-5-4
52,T_19 T_08 T_30 T_14 T_04,-0.677,70.59,1.163,4,1-3-4
53,T_01 T_28 T_19 T_04 T_37,0.612,39.37,0.55,2,1-1-0
54,T_19 T_16 T_04 T_05 T_37,1.031,27.27,1.127,4,1-5-4
55,T_25 T_19 T_33 T_04 T_37,0.931,0.34,4.124,3,1-6-2
56,T_19 T_05 T_04 T_20,-0.839,71.98,3.625,1,0-9-4
57,T_01 T_13 T_09 T_04 T_19,-0.309,83.38,5.673,1,1-4-2
58,T_19 T_33 T_23 T_05 T_04,0.331,39.5,0.736,1,1-1-0
59,T_19 T_33 T_04 T_24,0.976,56.42,0.979,1,0-7-4
60,T_19 T_31 T_04 T_37,-0.479,22.77,0.038,1,1-5-4
61,T_26 T_04 T_17 T_19 T_13,-0.186,62.22,5.728,5,1-4-2
62,T_13 T_17 T_18 T_04 T_19,-1.106,1.21,0.799,1,1-8-3
63,T_19 T_04 T_01 T_11,-1.196,48.86,1.036,1,1-7-0
64,T_29 T_05 T_04 T_19,0.813,64.42,4.768,1,0-8-3
65,T_19 T_04 T_35 T_01,1.356,91.82,1.496,2,0-0-3
66,T_37 T_19 T_17 T_34 T_04,-0.072,38.13,1.67,5,0-1-3
67,T_04 T_19 T_37 T_14 T_32,1.004,76.52,0.388,1,0-3-0
68,T_04 T_19 T_12 T_17,0.362,59.77,1.381,4,0-7-3
69,T_33 T_00 T_04 T_05 T_19,-0.645,92.7,5.007,2,0-2-3
70,T_01 T_03 T_04 T_38,0.361,39.84,1.636,5,0-8-4
71,T_04 T_10 T_22 T_14 T_03,1.538,31.91,0.589,4,1-3-1
72,T_33 T_03 T_02 T_04,-0.036,88.71,0.063,4,1-3-4
73,T_14 T_15 T_03 T_05 T_04,1.565,4.92,0.82,2,1-5-0
74,T_03 T_33 T_30 T_22 T_04,-2.62,13.64,1.7,4,0-3-0
75,T_03 T_22 T_33 T_28 T_04,0.822,8.24,0.087,3,0-3-1
76,T_05 T_16 T_04 T_03 T_37,0.087,84.31,1.882,2,0-5-0
77,T_37 T_03 T_04 T_08 T_06,-0.299,1.06,1.482,2,1-3-1
78,T_33 T_21 T_04 T_25 T_03,0.092,86.17,3.06,3,0-6-3
79,T_21 T_03 T_20 T_04,-1.988,45.13,0.059,2,1-9-0
80,T_17 T_04 T_07 T_03 T_37,-0.22,0.4,3.036,4,0-3-3
81,T_03 T_05 T_09 T_04,0.357,40.16,1.472,4,0-4-3
82,T_04 T_23 T_17 T_03 T_05,1.478,18.68,0.926,4,0-3-1
83,T_31 T_04 T_13 T_03,-0.518,62.44,6.727,3,0-5-0
84,T_18 T_04 T_13 T_37 T_03,-0.808,67.94,0.349,4,0-8-4
85,T_37 T_03 T_04 T_11,-0.502,48.75,1.559,3,0-7-1
86,T_04 T_03 T_21 T_29 T_37,0.915,4.05,0.774,3,1-8-4
87,T_04 T_35 T_03 T_17 T_14,0.329,65.61,1.499,3,1-3-4
88,T_21 T_04 T_27 T_17 T_03,-0.53,84.2,1.607,2,0-5-1
89,T_32 T_03 T_33 T_04 T_14,0.513,72.03,0.187,5,1-3-1
90,T_03 T_17 T_12 T_37 T_04,0.097,83.0,2.164,3,1-7-4
91,T_08 T_00 T_03 T_33 T_04,0.969,20.05,2.013,4,1-3-4
92,T_04 T_38 T_22 T_10,-0.702,88.89,2.935,3,1-8-1
93,T_38 T_04 T_08 T_02 T_33,-0.328,32.22,0.19,1,1-8-4
