sample_id,target
8033,rirkaptokotlam
5480,kuvomonnavdo
26594,rovpeneshelum
14894,rartisuvrulonoddo
21181,poperilenenin
24041,nokvudurvuntogdo
20046,lepuvedleshevekse
10486,kutiketteken
4657,vodesekenintikse
6414,borturonuntoksa
15386,tubegolashonunnavdo
3150,fammitekennivde
23748,kelkozevdirintigde
23124,disesoturonuntogdo
21197,unortotogvunnavdo
15861,ronnaritegvekelamdo
9265,batanonunmavdo
5969,zufpeninnevde
14998,bonezolashavuntofsa
11891,valikevekelimse
19323,luderaduronlem
15454,ronenlim
17724,votuturonkatoksa
29200,vukundurkatog
1391,posimtireninnevde
24094,luzfoddurontoksa
7437,lipusanashonunsa
23560,zszizudurvotnaf
8802,kuzetegvekenifse
25606,pudpubulotnufsa
28801,vasovzuria
371,nubutogvunlamsa
6146,vonalakasa
24080,ronenneshese
9775,petudrozurot
17796,zeffobusokvnotsa
22882,refzepvurulonun
18640,kobdurvuntog
25824,zavavunlem
22202,kosurulvotlemse
22504,likbeneshevinlumdf
2212,bekuturvunnafsa
5603,sakvaftokonuntogdo
8881,girenkirilen
22388,notzusonotog
5417,zakerilvelim
4938,moridireninse
13434,dobatogvalamdo
20008,bekizirettig
3158,disonlemde
20651,butralrulvottaruksa
9158,pezlorittegvekelam
463,veverilenlim
18138,kisaronashunlumsa
23523,pezvilrunashonkatov
615,vorotokuntoksa
6380,godirilvekelimde
20213,dunsuzurontogdo
16762,dizsindirenettig
11298,nudastokunnavdo
12995,dabatogdo
8181,tossanrulvaka
17719,dinimneshevetlumdo
13511,pikkaboktokunlaodo
16574,kakepunashonotsa
2716,pemkusaturvotnaf
24012,nuroduronkanafsa
24495,kakepurulonkasa
27470,pellunnanashakado
20181,zabebneshenetnef
24131,nubavottoksa
10003,feforulonuntarug
13639,foneselekese
29016,folatdanrulvotmufsa
7389,nivineshense
18278,tubuguntogdo
21045,petakatoksa
14356,znbavun
26364,dolimalavunsa
7769,dizsinekese
6221,losiftiredde
23432,fumugitirenettig
25799,kitbeleshekenef
21378,gozirilvinterig
27505,vinorulvakanufsa
7037,tiklanrultaruksa
15474,bomuturonunlemde
11646,vifutvaprulvanufsa
15897,katanduronottog
10570,vibmatorulvado
15511,selasonkatogdo
22725,nurotokun
26259,zafonashatofsa
22837,tubegotoknav
25344,dozugrulvotnufsa
6358,gigineshevelum
25907,bamudorulvoddo
20376,delkurtogvalamsa
6691,kozatarulunnufsa
26298,kutiketrilinnif
15881,putufrulvotnuvdo
1030,tufgeperilonivde
9164,gonkaktogvasa
18604,dizottokuntoksa
9488,gaskirilinterigde
1577,folatdakanaf
15859,kuzetegvettikse
9947,mikluruknashonkatov
3793,zolirilveketrikse
27620,dobadurvalem
22194,teftonunlem
20711,pavutokin
28527,vuvilrasotnafsa
17551,lakenkenef
27123,fudeneshettifse
22115,bukutoklam
2917,seffelanduronlem
5586,zavsanezirkenefse
14605,tosmagenet
6326,sazsonavunlemde
25701,nimamisegvenivde
1515,dinimentegvetmiv
20696,dufkurantokonottoksa
2371,medapgevinlimde
3432,oikerilet
18647,viksrdurkanafsa
20863,lepuvedenketikse
4239,sizruzonunnavdo
19773,burorsokunlamsa
1390,divisegve
893,ponedirenkenef
17874,puznamarmlvakalemse
26884,letavirneshevekelum
14037,dbvenkenef
24073,voburdakalemse
15187,mubfidireninde
2933,bivelgobdurvotlemde
28007,kumsenenrilvelimse
10937,zepofmandurmaf
27526,ruklotavunnafsa
28770,dibanashavotofsa
1129,rolosvineshevetivde
731,gasupotnafsa
11110,beretirenintig
3084,laverilvetterikse
7297,kerisrilke
4588,fivbotokonlamdg
12496,dunsottoksa
2795,dibifofturotnaf
7601,bukurulonav
798,poperilzirettig
22616,rirkaponotnaf
17118,lompulovanduronottoksa
22943,kopsokkanafsa
18628,gozentekinlamdo
178,pegreriletlimse
