id,output,visibility
12048,0-8-3,private
12049,0-8-4,private
12050,0-5-0,private
12051,0-4-3,public
12052,0-8-3,private
12053,0-8-0,private
12054,1-3-3,private
12055,0-0-3,private
12056,0-0-0,private
12057,1-1-2,public
12058,1-5-0,public
12059,1-7-0,public
12060,0-4-3,private
12061,1-3-4,private
12062,0-8-0,private
12063,0-8-0,private
12064,1-8-1,public
12065,0-8-3,private
12066,1-8-0,private
12067,1-8-4,private
12068,1-5-2,public
12069,0-3-3,public
12070,1-3-3,private
12071,0-7-2,private
12072,1-5-2,private
12073,1-7-3,public
12074,0-3-3,public
12075,0-7-1,private
12076,0-5-0,private
12077,1-3-0,public
12078,1-6-3,private
12079,0-9-0,public
12080,1-1-1,private
12081,1-5-0,public
12082,1-5-1,public
12083,0-7-4,public
12084,0-9-1,public
12085,1-7-2,private
12086,0-8-0,public
12087,0-5-0,private
12088,0-6-4,public
12089,1-7-1,private
12090,0-5-1,private
12091,0-8-0,private
12092,1-3-0,private
12093,1-1-3,private
12094,0-5-2,private
12095,0-8-1,private
12096,1-5-0,private
12097,1-1-3,private
12098,0-3-3,private
12099,0-2-1,private
12100,0-7-0,public
12101,1-7-3,private
12102,1-9-0,private
12103,0-9-0,private
12104,1-7-4,public
12105,0-5-4,private
12106,0-4-2,private
12107,0-7-0,private
12108,0-5-0,public
12109,1-1-3,public
12110,0-5-4,private
12111,0-4-2,private
12112,0-8-3,private
12113,1-7-3,public
12114,1-7-1,private
12115,1-7-1,private
12116,1-7-4,public
12117,0-7-0,private
12118,0-8-3,public
12119,1-4-3,private
12120,0-5-0,private
12121,1-7-3,private
12122,1-8-4,private
12123,0-8-4,private
12124,0-8-4,private
12125,0-7-4,private
12126,0-2-4,private
12127,1-5-1,private
12128,1-8-4,private
12129,1-9-3,private
12130,0-8-1,private
12131,0-8-4,public
12132,1-8-2,private
12133,1-8-2,private
12134,0-8-4,private
12135,1-8-2,private
12136,1-8-2,private
12137,1-8-2,private
12138,1-3-2,private
12139,1-5-3,private
12140,0-7-2,private
12141,1-3-0,public
12142,0-3-2,private
12143,0-3-0,public
12144,1-3-3,private
12145,0-5-0,private
12146,1-3-0,private
12147,1-8-3,public
12148,0-5-1,private
12149,0-3-2,private
12150,0-3-0,private
12151,0-3-0,private
12152,1-7-0,private
12153,0-3-0,private
12154,0-7-3,public
12155,1-6-3,public
12156,1-5-0,public
12157,0-6-3,public
12158,1-9-0,private
12159,0-3-1,private
12160,1-8-4,private
12161,1-3-4,private
12162,1-3-2,public
12163,0-4-4,private
12164,0-8-0,public
12165,0-7-2,public
12166,1-3-0,private
12167,0-8-4,private
12168,1-5-4,public
