id,label
29326,tier_5_critical
11167,tier_1_minor
8043,tier_2_moderate
12064,tier_1_minor
23111,tier_4_severe
14746,tier_5_critical
23419,tier_4_severe
6346,tier_1_minor
7841,tier_1_minor
10273,tier_5_critical
5470,tier_2_moderate
28732,tier_1_minor
13528,tier_2_moderate
17341,tier_3_significant
13924,tier_2_moderate
22992,tier_1_minor
18811,tier_3_significant
16939,tier_1_minor
17522,tier_1_minor
9255,tier_1_minor
31319,tier_4_severe
14507,tier_4_severe
23007,tier_2_moderate
7598,tier_5_critical
8389,tier_5_critical
14376,tier_2_moderate
2726,tier_4_severe
29901,tier_3_significant
7192,tier_2_moderate
16105,tier_1_minor
5430,tier_3_significant
7717,tier_4_severe
21588,tier_1_minor
29590,tier_1_minor
19849,tier_2_moderate
930,tier_5_critical
24759,tier_2_moderate
14641,tier_1_minor
27098,tier_4_severe
23241,tier_5_critical
22252,tier_3_significant
29904,tier_4_severe
2941,tier_4_severe
696,tier_2_moderate
16597,tier_2_moderate
29194,tier_1_minor
6289,tier_4_severe
30064,tier_1_minor
11145,tier_3_significant
14053,tier_4_severe
8433,tier_1_minor
5146,tier_3_significant
25960,tier_5_critical
29472,tier_2_moderate
4867,tier_1_minor
24720,tier_3_significant
7039,tier_3_significant
1112,tier_4_severe
15174,tier_5_critical
15256,tier_1_minor
2541,tier_1_minor
7676,tier_5_critical
10474,tier_5_critical
16700,tier_1_minor
24492,tier_1_minor
30416,tier_2_moderate
4594,tier_3_significant
31698,tier_3_significant
1467,tier_3_significant
31021,tier_2_moderate
63,tier_3_significant
15202,tier_3_significant
25962,tier_3_significant
4744,tier_3_significant
15587,tier_4_severe
13093,tier_1_minor
17105,tier_1_minor
22142,tier_3_significant
15182,tier_1_minor
20959,tier_4_severe
9696,tier_3_significant
2318,tier_1_minor
25894,tier_2_moderate
17196,tier_1_minor
14363,tier_2_moderate
14686,tier_5_critical
22970,tier_3_significant
30360,tier_1_minor
2597,tier_1_minor
23137,tier_2_moderate
22051,tier_2_moderate
9912,tier_5_critical
15507,tier_4_severe
27042,tier_4_severe
13294,tier_1_minor
3748,tier_2_moderate
21,tier_1_minor
25254,tier_4_severe
21817,tier_4_severe
18536,tier_2_moderate
12668,tier_4_severe
28820,tier_3_significant
11326,tier_3_significant
6878,tier_2_moderate
20361,tier_4_severe
10063,tier_2_moderate
31168,tier_1_minor
16379,tier_5_critical
16635,tier_2_moderate
7687,tier_3_significant
25872,tier_3_significant
26717,tier_1_minor
18239,tier_5_critical
12475,tier_3_significant
17368,tier_1_minor
21094,tier_3_significant
4711,tier_1_minor
4383,tier_1_minor
12311,tier_1_minor
7346,tier_2_moderate
16050,tier_3_significant
12219,tier_4_severe
22860,tier_1_minor
14057,tier_5_critical
23488,tier_2_moderate
2716,tier_4_severe
17258,tier_3_significant
16651,tier_5_critical
31568,tier_3_significant
8813,tier_5_critical
29709,tier_5_critical
28815,tier_2_moderate
26201,tier_1_minor
30821,tier_3_significant
19813,tier_2_moderate
22132,tier_3_significant
11488,tier_1_minor
17219,tier_4_severe
28351,tier_1_minor
23347,tier_1_minor
19659,tier_3_significant
18794,tier_1_minor
7210,tier_3_significant
6045,tier_3_significant
28571,tier_2_moderate
25629,tier_1_minor
236,tier_3_significant
27775,tier_2_moderate
14398,tier_2_moderate
27790,tier_1_minor
27029,tier_1_minor
22229,tier_1_minor
24804,tier_1_minor
24652,tier_3_significant
13571,tier_2_moderate
15643,tier_4_severe
22479,tier_3_significant
25090,tier_2_moderate
29879,tier_1_minor
20067,tier_2_moderate
20955,tier_2_moderate
2709,tier_4_severe
931,tier_1_minor
27148,tier_2_moderate
16957,tier_2_moderate
6591,tier_4_severe
19754,tier_2_moderate
10726,tier_5_critical
11024,tier_5_critical
31141,tier_1_minor
11615,tier_1_minor
31199,tier_2_moderate
16311,tier_1_minor
4870,tier_4_severe
15081,tier_2_moderate
31184,tier_2_moderate
3037,tier_1_minor
23794,tier_2_moderate
20184,tier_5_critical
14560,tier_5_critical
3500,tier_1_minor
19501,tier_2_moderate
18831,tier_5_critical
9676,tier_2_moderate
8932,tier_3_significant
991,tier_5_critical
11941,tier_2_moderate
7925,tier_2_moderate
14646,tier_2_moderate
14351,tier_2_moderate
1506,tier_1_minor
443,tier_2_moderate
22256,tier_4_severe
951,tier_4_severe
31266,tier_2_moderate
23906,tier_2_moderate
17569,tier_5_critical
9408,tier_4_severe
23582,tier_4_severe
24896,tier_2_moderate
28876,tier_4_severe
7229,tier_1_minor
4801,tier_3_significant
29069,tier_2_moderate
31500,tier_3_significant
15580,tier_2_moderate
438,tier_1_minor
18199,tier_1_minor
19388,tier_1_minor
5156,tier_1_minor
6332,tier_3_significant
25377,tier_1_minor
15210,tier_2_moderate
23566,tier_3_significant
29515,tier_1_minor
26595,tier_1_minor
26026,tier_3_significant
26377,tier_3_significant
30800,tier_3_significant
25739,tier_1_minor
14520,tier_3_significant
28110,tier_4_severe
7056,tier_2_moderate
5800,tier_1_minor
1513,tier_4_severe
29654,tier_4_severe
29678,tier_1_minor
1207,tier_1_minor
28220,tier_2_moderate
1200,tier_3_significant
64,tier_4_severe
5867,tier_3_significant
5594,tier_4_severe
2995,tier_1_minor
672,tier_5_critical
27890,tier_1_minor
26210,tier_4_severe
12995,tier_4_severe
17084,tier_2_moderate
23969,tier_2_moderate
20359,tier_2_moderate
19926,tier_3_significant
7305,tier_4_severe
940,tier_3_significant
12432,tier_2_moderate
7335,tier_2_moderate
10810,tier_5_critical
22515,tier_2_moderate
29295,tier_5_critical
15429,tier_1_minor
11342,tier_4_severe
14472,tier_3_significant
9301,tier_4_severe
23383,tier_2_moderate
7436,tier_4_severe
870,tier_2_moderate
15322,tier_1_minor
15381,tier_3_significant
13665,tier_1_minor
4905,tier_2_moderate
17731,tier_4_severe
3242,tier_4_severe
27344,tier_1_minor
16546,tier_1_minor
27874,tier_1_minor
10154,tier_2_moderate
13013,tier_1_minor
927,tier_4_severe
21435,tier_4_severe
5487,tier_2_moderate
14916,tier_3_significant
23631,tier_1_minor
19302,tier_1_minor
17907,tier_2_moderate
12643,tier_4_severe
27587,tier_1_minor
15156,tier_3_significant
9863,tier_2_moderate
6810,tier_2_moderate
6897,tier_5_critical
25319,tier_1_minor
28559,tier_1_minor
18036,tier_3_significant
4665,tier_2_moderate
4483,tier_3_significant
28046,tier_2_moderate
31193,tier_2_moderate
18280,tier_5_critical
10387,tier_4_severe
20899,tier_2_moderate
30679,tier_3_significant
24734,tier_4_severe
18494,tier_4_severe
22888,tier_5_critical
5249,tier_5_critical
24817,tier_3_significant
7394,tier_2_moderate
97,tier_1_minor
20836,tier_1_minor
21505,tier_3_significant
18472,tier_2_moderate
17303,tier_1_minor
3739,tier_2_moderate
27430,tier_3_significant
11391,tier_3_significant
15632,tier_2_moderate
22619,tier_3_significant
13496,tier_2_moderate
30944,tier_1_minor
18168,tier_1_minor
20860,tier_3_significant
14943,tier_4_severe
20309,tier_2_moderate
15383,tier_3_significant
31566,tier_2_moderate
21221,tier_3_significant
25780,tier_2_moderate
2720,tier_2_moderate
23452,tier_3_significant
14413,tier_4_severe
22002,tier_2_moderate
21993,tier_3_significant
18140,tier_2_moderate
29734,tier_1_minor
18080,tier_1_minor
2757,tier_2_moderate
28043,tier_1_minor
6170,tier_2_moderate
31175,tier_3_significant
23489,tier_4_severe
10060,tier_5_critical
7617,tier_5_critical
