id,answer
9439,D
640,B
19158,C
10662,C
10572,D
6721,B
6315,D
11074,C
2829,A
19382,B
8336,D
13873,C
5337,D
13692,D
14177,D
3812,B
19483,B
11016,D
12410,A
14014,C
16120,B
2482,D
1726,D
14563,D
10198,C
15184,B
2619,D
340,C
6797,B
10011,A
2490,D
13143,D
7343,D
11370,B
19905,B
8879,B
11321,B
3761,A
16926,C
1748,B
1505,B
9399,A
5360,A
19415,C
14965,D
3800,B
16756,A
18266,B
10992,B
6566,A
15600,A
3877,A
19,A
1958,A
12004,C
16514,B
6905,C
7872,B
4859,C
14527,D
13716,D
11700,D
4427,B
5681,D
9663,A
2691,D
4742,A
12314,A
6709,C
12389,D
2365,C
19748,D
6670,A
7512,B
1259,A
6682,C
5127,B
4317,D
19493,C
4762,D
16122,D
19592,A
10791,A
4811,B
14517,D
6161,D
13347,A
18412,D
19684,D
4196,B
555,B
11136,C
9487,A
15339,B
19615,A
3257,D
2792,B
12783,C
4563,D
19652,A
13526,B
12899,D
5467,C
6891,C
10405,D
12750,A
12523,B
2790,A
17043,D
16579,B
6032,A
14033,C
8559,A
3647,A
9634,C
11784,A
11992,C
1395,C
8704,C
18594,D
8295,C
16986,B
10465,D
13373,A
6171,A
14550,A
6002,A
9396,B
7492,A
4629,A
17490,D
19248,D
16412,B
15452,A
8538,D
8803,D
1414,B
15453,C
8173,B
2957,D
18562,D
3370,D
13667,A
17388,A
10093,C
5684,D
4878,B
7589,C
11133,C
5356,C
3369,C
13394,C
4406,A
1032,B
7221,C
2234,A
13971,C
1240,D
12484,B
11915,D
11560,B
12257,C
8123,C
13606,A
10802,A
13647,C
8766,C
18523,C
224,D
1603,B
8379,B
18421,C
1217,B
15111,D
17287,A
7580,A
5788,C
11882,D
2541,A
12622,A
19029,C
4009,D
2084,C
7530,B
5010,C
17714,C
19447,D
8761,D
710,C
17098,C
3612,C
10431,B
2877,C
11302,A
17183,C
919,A
5261,C
10748,B
6538,D
10089,B
2716,A
11399,B
18278,C
17330,C
7877,B
11983,B
19120,C
15650,D
8702,D
18625,A
4472,A
8152,D
1551,D
3920,C
3531,B
239,A
17335,A
8431,D
19102,A
16408,A
7892,D
6630,B
6285,B
18184,A
4585,D
7522,B
14061,D
8340,B
17795,B
9517,A
625,B
19002,B
4842,D
3329,B
9647,A
1207,B
1319,D
19079,D
17557,C
8887,B
2110,B
13163,C
10851,B
7618,D
3825,B
10785,C
17324,B
17576,C
4826,B
19020,D
12215,B
12266,D
12771,A
10766,A
9092,B
11419,D
18151,D
3723,D
7050,B
2815,A
411,D
15412,B
16349,A
3847,D
10758,B
8313,C
9884,B
1530,D
10770,C
12118,D
5099,B
7477,A
14328,B
5768,B
10067,D
3225,B
16884,B
16559,C
3176,C
16741,B
10181,D
12343,D
4278,B
2748,C
7860,D
8150,D
1003,D
14387,D
19796,A
17071,C
13522,B
9570,C
19958,C
1425,D
7903,D
2542,C
19564,C
18659,C
16331,D
17310,A
5171,B
152,C
11035,A
13935,D
11921,C
3821,B
8199,B
9819,A
907,B
12022,B
19366,A
18655,C
1158,C
18039,D
6504,B
8871,C
9476,B
3041,A
552,B
13883,A
16075,D
11847,C
13686,D
3784,B
18329,B
10207,A
16006,D
7796,D
17045,B
14087,A
2048,A
16434,A
4281,C
18972,A
2137,D
10195,D
19208,D
14359,C
982,C
15143,A
999,B
13562,B
8599,B
11938,A
1878,D
5326,C
19086,B
7391,A
12485,C
1839,C
2641,C
