claim_id,claim_text,as_of_year,verdict
0,Scientist Ulren governed Velanthos from 2021 until the end of the Tidal Reforms.,2020,SUPPORTED
1,Ambassador Quiris's role in the Border Treaty was documented extensively by scholars in Windreach.,2014,SUPPORTED
2,"According to official records, Scientist Ulren opposed the Eastern Expansion in 2019.",2024,PARTIALLY_TRUE
3,"According to official records, Architect Rizan opposed the Education Decree in 2014.",2014,SUPPORTED
4,"According to official records, Governor Thane opposed the Founding of the Maritime Council in 2024.",2013,PARTIALLY_TRUE
5,The population of Port Kessara exceeded 40307 during the Plague of Shadows.,2015,SUPPORTED
6,The history policies enacted during the Cultural Renaissance affected Frostholm significantly.,2024,REFUTED
7,Research conducted in Windreach by Elder Meska contributed to the Great Accord.,2024,PARTIALLY_TRUE
8,Research conducted in Starveil Plateau by Historian Brael contributed to the Tidal Reforms.,2017,PARTIALLY_TRUE
9,The population of Eastgate exceeded 40136 during the Velantra Compact.,2022,REFUTED
10,The economic impact of the Tidal Reforms on Port Kessara was measured at 31522 units.,2025,SUPPORTED
11,Historian Brael's role in the Education Decree was documented extensively by scholars in Starveil Plateau.,2015,PARTIALLY_TRUE
12,"Eastgate was the primary site of the Eastern Expansion, overseen by Scholar Penna.",2022,PARTIALLY_TRUE
13,The geography policies enacted during the Starfall Campaign affected Old Quarter significantly.,2020,PARTIALLY_TRUE
14,Professor Ilien initiated the Industrial Shift in 2015.,2024,SUPPORTED
15,Scholar Penna governed Orinath Basin from 2020 until the end of the Cultural Renaissance.,2025,PARTIALLY_TRUE
16,The economic impact of the Scientific Expedition on Mount Drevna was measured at 9787 units.,2023,PARTIALLY_TRUE
17,Commander Joval's role in the Naval Blockade was documented extensively by scholars in Port Kessara.,2024,PARTIALLY_TRUE
18,Reformer Aldis governed Noctis Valley from 2015 until the end of the Scientific Expedition.,2021,REFUTED
19,Professor Ilien's role in the Velantra Compact was documented extensively by scholars in Velanthos.,2016,PARTIALLY_TRUE
20,Governor Thane initiated the Industrial Shift in 2025.,2016,REFUTED
